ecoregion	scenario	extinction	ex_sp	int_space	fun_space	phy_space	connectance	nodf	mod	h2	fc
atlantic_forest	45_clim_41	0	0	0.1999581	0.06392921	0.005607579	0.2083333	37.08477	0.3170443	0.2908586	136.2003
atlantic_forest	45_clim_41	6	D_jim	0.1972189	0.04844283	0.005004408	0.2132353	37.73781	0.315797	0.289757	134.4672
atlantic_forest	45_clim_41	11	P_azu	0.1993331	0.05430383	0.005223418	0.2083333	37.46593	0.3115061	0.3050594	128.6679
atlantic_forest	45_clim_41	17	S_fut	0.2004523	0.05416951	0.005611464	0.2055556	36.84758	0.3140235	0.312761	125.4517
atlantic_forest	45_clim_41	22	P_pla	0.2060361	0.05415851	0.005726249	0.2053571	38.16466	0.3068652	0.3093161	121.5708
atlantic_forest	45_clim_41	28	P_cuv	0.1938847	0.05305658	0.005828653	0.2083333	38.40799	0.3111738	0.3162437	119.1743
atlantic_forest	45_clim_41	33	D_min	0.16529	0.05082663	0.006448612	0.2118056	38.97591	0.3155872	0.3192475	115.8799
atlantic_forest	45_clim_41	39	T_typ	0.1677941	0.04204682	0.006375289	0.2272727	38.4585	0.3146052	0.3207251	114.6182
atlantic_forest	45_clim_41	44	B_ran	0.1639599	0.03986236	0.006382688	0.2291667	39.1166	0.3138082	0.3324468	111.7727
atlantic_forest	45_clim_41	50	S_fus	0.1143914	0.03583285	0.006983884	0.25	39.17125	0.3123386	0.329746	110.4272
atlantic_forest	45_clim_41	56	D_nan	0.08476359	0.03358397	0.006990701	0.2291667	36.34242	0.3148377	0.3614219	93.96339
atlantic_forest	45_clim_41	61	D_san	0.08574647	0.03330525	0.007310663	0.2559524	36.46946	0.3137587	0.359506	93.28343
atlantic_forest	45_clim_41	67	S_squ	0.04741249	0.03139133	0.008117648	0.2916667	36.53412	0.312634	0.3575497	90.8164
atlantic_forest	45_clim_41	72	R_dip	0.03958687	0.01951339	0.007075623	0.3391304	38.45917	0.3099999	0.3652803	88.05038
atlantic_forest	45_clim_41	78	E_bic	0.01566352	0.01280582	0.005488919	0.3863636	39.96383	0.272149	0.3197321	80.25977
atlantic_forest	45_clim_61	0	0	0.1999581	0.04847102	0.005122556	0.2083333	37.08477	0.3170443	0.2908586	136.2003
atlantic_forest	45_clim_61	6	D_jim	0.1972189	0.04844283	0.005004408	0.2132353	37.73781	0.315797	0.289757	134.4672
atlantic_forest	45_clim_61	11	S_fut	0.2017385	0.04833468	0.005396475	0.2109375	37.18885	0.3169211	0.3008685	131.2609
atlantic_forest	45_clim_61	17	P_azu	0.2004523	0.05416951	0.005611464	0.2055556	36.84758	0.3140235	0.312761	125.4517
atlantic_forest	45_clim_61	22	P_cuv	0.2059052	0.05309025	0.005714408	0.2083333	37.00272	0.3152135	0.318595	122.3659
atlantic_forest	45_clim_61	28	D_min	0.178377	0.05132565	0.006330601	0.2115385	37.98628	0.3190345	0.321271	119.1261
atlantic_forest	45_clim_61	33	T_typ	0.1742579	0.04388951	0.006259502	0.2256944	37.31412	0.3182795	0.3229717	117.8541
atlantic_forest	45_clim_61	39	P_pla	0.1677941	0.04204682	0.006375289	0.2272727	38.4585	0.3146052	0.3207251	114.6182
atlantic_forest	45_clim_61	44	B_ran	0.1639599	0.03986236	0.006382688	0.2291667	39.1166	0.3138082	0.3324468	111.7727
atlantic_forest	45_clim_61	50	D_nan	0.1539062	0.03800087	0.007335935	0.2083333	36.42552	0.3158722	0.3617617	95.26182
atlantic_forest	45_clim_61	56	S_fus	0.08476359	0.03358397	0.006990701	0.2291667	36.34242	0.3148377	0.3614219	93.96339
atlantic_forest	45_clim_61	61	S_squ	0.08574647	0.03296129	0.007059406	0.2559524	36.46946	0.3137587	0.359506	93.28343
atlantic_forest	45_clim_61	67	R_dip	0.08431573	0.01991339	0.007399266	0.2898551	38.36354	0.3109715	0.3671896	90.41181
atlantic_forest	45_clim_61	72	D_san	0.03958687	0.01951339	0.007075623	0.3391304	38.45917	0.3099999	0.3652803	88.05038
atlantic_forest	45_clim_61	78	L_pod	0.008140728	0.01863106	0.008131065	0.34375	31.66667	0.208616	0.4296046	61.33999
atlantic_forest	85_clim_41	0	0	0.1999581	0.04847102	0.005122556	0.2083333	37.08477	0.3170443	0.2908586	136.2003
atlantic_forest	85_clim_41	6	D_jim	0.1972189	0.04844283	0.005004408	0.2132353	37.73781	0.315797	0.289757	134.4672
atlantic_forest	85_clim_41	11	S_fut	0.2017385	0.04833468	0.005396475	0.2109375	37.18885	0.3179165	0.3008685	131.2609
atlantic_forest	85_clim_41	17	P_azu	0.2004523	0.05416951	0.005611464	0.2055556	36.84758	0.3140235	0.312761	125.4517
atlantic_forest	85_clim_41	22	D_min	0.1762727	0.05233674	0.006492041	0.2083333	38.18055	0.3161426	0.3121482	122.0893
atlantic_forest	85_clim_41	28	T_typ	0.1770666	0.04482488	0.006464476	0.2211538	37.35808	0.3154813	0.3138255	120.8381
atlantic_forest	85_clim_41	33	D_nan	0.1737554	0.04486923	0.006761034	0.2048611	35.56461	0.3149795	0.3344754	104.41
atlantic_forest	85_clim_41	39	B_ran	0.1493035	0.04276167	0.006856595	0.2045455	36.16242	0.3104287	0.3485814	102.2048
atlantic_forest	85_clim_41	44	S_fus	0.1288339	0.03904647	0.006499822	0.2208333	36.54131	0.3093397	0.3474157	100.9978
atlantic_forest	85_clim_41	50	R_dip	0.1267989	0.04560809	0.006542272	0.2415459	39.261	0.3055295	0.3536294	97.71066
atlantic_forest	85_clim_41	56	S_squ	0.127049	0.04444565	0.006553699	0.2663043	39.8746	0.3046024	0.3512441	97.20475
