area	type	diversity	ext	mean	desv1	desv2
chaco	random	functional	0	0.04931843	0.04931843	0.04931843
chaco	random	functional	5	0.04984113	0.054251051	0.045431209
chaco	random	functional	10	0.05095477	0.05758466	0.04432488
chaco	random	functional	15	0.05165449	0.058916573	0.044392407
chaco	random	functional	20	0.05159824	0.058657841	0.044538639
chaco	random	functional	25	0.05062255	0.057759604	0.043485496
chaco	random	functional	30	0.05022705	0.057451861	0.043002239
chaco	random	functional	35	0.04947346	0.056705314	0.042241606
chaco	random	functional	40	0.04886947	0.056635816	0.041103124
chaco	random	functional	45	0.04779774	0.05517482	0.04042066
chaco	random	functional	50	0.04721283	0.053506372	0.040919288
chaco	random	functional	55	0.04582077	0.052093461	0.039548079
chaco	random	functional	60	0.04358498	0.050654206	0.036515754
chaco	random	functional	65	0.04060477	0.047762229	0.033447311
chaco	random	functional	70	0.03710773	0.045145057	0.029070403
chaco	random	functional	75	0.03075302	0.039136254	0.022369786
chaco	random	functional	80	0.02186697	0.030465156	0.013268784
chaco	random	interaction	0	0.19158675	0.19158675	0.19158675
chaco	random	interaction	5	0.1890885	0.193078217	0.185098783
chaco	random	interaction	10	0.1857165	0.192289355	0.179143645
chaco	random	interaction	15	0.18181581	0.190790272	0.172841348
chaco	random	interaction	20	0.17805199	0.18843582	0.16766816
chaco	random	interaction	25	0.17341191	0.186621	0.16020282
chaco	random	interaction	30	0.16788009	0.18588245	0.14987773
chaco	random	interaction	35	0.16121714	0.18179912	0.14063516
chaco	random	interaction	40	0.15191095	0.18050312	0.12331878
chaco	random	interaction	45	0.13960828	0.17190713	0.10730943
chaco	random	interaction	50	0.12757211	0.16460996	0.09053426
chaco	random	interaction	55	0.11125446	0.14949152	0.0730174
chaco	random	interaction	60	0.09593025	0.13374564	0.05811486
chaco	random	interaction	65	0.07917129	0.11975286	0.03858972
chaco	random	interaction	70	0.05850817	0.09781109	0.01920525
chaco	random	interaction	75	0.03863336	0.07073389	0.00653283
chaco	random	phy	0	0.004736432	0.004736432	0.004736432
chaco	random	phy	5	0.004907434	0.005396204	0.004418664
chaco	random	phy	10	0.005176579	0.005868835	0.004484323
chaco	random	phy	15	0.005412437	0.006176632	0.004648242
chaco	random	phy	20	0.005586255	0.006381767	0.004790743
chaco	random	phy	25	0.005693505	0.006446561	0.004940449
chaco	random	phy	30	0.00583897	0.006510605	0.005167335
chaco	random	phy	35	0.005870943	0.006588947	0.005152939
chaco	random	phy	40	0.005945451	0.006705958	0.005184945
chaco	random	phy	45	0.005984124	0.006770177	0.005198071
chaco	random	phy	50	0.006026946	0.006862784	0.005191109
