species	order	site
P_azu	1	af
E_mat	1	chaco
P_azu	1	cerrado
E_mat	1	pantanal
D_jim	2	af
S_con	2	chaco
D_jim	2	cerrado
S_con	2	pantanal
R_dip	3	af
R_dip	3	chaco
B_geo	3	cerrado
A_dyp	3	pantanal
P_cuv	4	af
B_pun	4	chaco
L_lab	4	cerrado
P_cuv	4	pantanal
S_fut	5	af
R_ber	5	chaco
P_cuv	5	cerrado
R_dip	5	pantanal
D_min	6	af
P_mot	6	chaco
B_pun	6	cerrado
B_pun	6	pantanal
S_fus	7	af
L_fus	7	chaco
B_alb	7	cerrado
R_ber	7	pantanal
L_fus	8	af
P_pla	8	chaco
S_fut	8	cerrado
D_min	8	pantanal
P_pla	9	af
T_typ	9	chaco
P_dun	9	cerrado
S_fus	9	pantanal
T_typ	10	af
L_pod	10	chaco
D_min	10	cerrado
L_lat	10	pantanal
L_pod	11	af
D_nan	11	chaco
P_mot	11	cerrado
L_fus	11	pantanal
D_san	12	af
P_bil	12	chaco
S_fus	12	cerrado
P_pla	12	pantanal
B_ran	13	af
B_ran	13	chaco
P_pla	13	cerrado
T_typ	13	pantanal
S_squ	14	af
P_alb	14	chaco
L_pod	14	cerrado
L_pod	14	pantanal
D_nan	15	pantanal
B_ran	16	pantanal
S_acu	17	pantanal
