species,abr,site
Adenomera dyptix,dyptix,BEP 02
Adenomera dyptix,dyptix,Baía Negra 01
Adenomera dyptix,dyptix,Baía Negra 02
Boana albopunctata,albo,Camapuã
Boana albopunctata,albo,Taquari
Boana geographica,geo,Camapuã
Boana geographica,geo,Taquari
Boana punctata,punc,Camapuã
Boana punctata,punc,Chaco 02
Boana punctata,punc,Chaco 03
Boana punctata,punc,Baía Negra 01
Boana punctata,punc,Taquari
Boana raniceps,rani,Três Lagoas 01
Boana raniceps,rani,Três Lagoas 02
Boana raniceps,rani,Barranco Alto 01
Boana raniceps,rani,BEP 01
Boana raniceps,rani,Brejo Bonito
Boana raniceps,rani,Chaco 01
Boana raniceps,rani,Chaco 03
Boana raniceps,rani,Baía Negra 01
Boana raniceps,rani,Ivinhema 01
Boana raniceps,rani,Ivinhema 02
Boana raniceps,rani,Mimosa 01
Boana raniceps,rani,Mimosa 02
Boana raniceps,rani,Taquari
Dendropsophus jimi,jimi,Brejo Bonito
Dendropsophus jimi,jimi,Ivinhema 03
Dendropsophus minutus,minu,Barranco Alto 02
Dendropsophus minutus,minu,Ivinhema 02
Dendropsophus minutus,minu,Ivinhema 03
Dendropsophus minutus,minu,Mimosa 01
Dendropsophus minutus,minu,Mimosa 02
Dendropsophus nanus,nanus,Três Lagoas 01
Dendropsophus nanus,nanus,Três Lagoas 02
Dendropsophus nanus,nanus,Barranco Alto 01
Dendropsophus nanus,nanus,Barranco Alto 02
Dendropsophus nanus,nanus,BEP 01
Dendropsophus nanus,nanus,BEP 02
Dendropsophus nanus,nanus,Brejo Bonito
Dendropsophus nanus,nanus,Camapuã
Dendropsophus nanus,nanus,Chaco 01
Dendropsophus nanus,nanus,Chaco 02
Dendropsophus nanus,nanus,Chaco 03
Dendropsophus nanus,nanus,Baía Negra 01
Dendropsophus nanus,nanus,Baía Negra 02
Dendropsophus nanus,nanus,Ivinhema 01
Dendropsophus nanus,nanus,Ivinhema 02
Dendropsophus nanus,nanus,Ivinhema 03
Dendropsophus nanus,nanus,Mimosa 01
Dendropsophus nanus,nanus,Mimosa 02
Dendropsophus nanus,nanus,Taquari
Dendropsophus sanborni ,sanb,Ivinhema 01
Dendropsophus sanborni ,sanb,Ivinhema 03
Elachistocleis bicolor,bicolor,Ivinhema 01
Elachistocleis bicolor,bicolor,Ivinhema 02
Elachistocleis bicolor,bicolor,Ivinhema 03
Elachistocleis matogrosso,mato,Barranco Alto 01
Elachistocleis matogrosso,mato,Barranco Alto 02
Elachistocleis matogrosso,mato,BEP 01
Elachistocleis matogrosso,mato,Chaco 01
Elachistocleis matogrosso,mato,Chaco 02
Elachistocleis matogrosso,mato,Chaco 03
Elachistocleis matogrosso,mato,Baía Negra 01
Elachistocleis matogrosso,mato,Baía Negra 02
Leptodactylus bufonius,bufo,Chaco 01
Leptodactylus bufonius,bufo,Chaco 03
Leptodactylus macrosternum,macro,Três Lagoas 01
Leptodactylus macrosternum,macro,Três Lagoas 02
Leptodactylus macrosternum,macro,Barranco Alto 01
Leptodactylus macrosternum,macro,Barranco Alto 02
Leptodactylus macrosternum,macro,BEP 01
Leptodactylus macrosternum,macro,BEP 02
Leptodactylus macrosternum,macro,Brejo Bonito
Leptodactylus macrosternum,macro,Camapuã
Leptodactylus macrosternum,macro,Chaco 01
Leptodactylus macrosternum,macro,Chaco 02
Leptodactylus macrosternum,macro,Chaco 03
Leptodactylus macrosternum,macro,Baía Negra 01
Leptodactylus macrosternum,macro,Baía Negra 02
Leptodactylus macrosternum,macro,Ivinhema 01
Leptodactylus macrosternum,macro,Ivinhema 02
Leptodactylus macrosternum,macro,Ivinhema 03
Leptodactylus macrosternum,macro,Mimosa 01
Leptodactylus elenae,ele,Chaco 03
Leptodactylus furnarius,furna,Camapuã
Leptodactylus fuscus,fuscus,Chaco 03
Leptodactylus fuscus,fuscus,Baía Negra 02
Leptodactylus fuscus,fuscus,Ivinhema 01
Leptodactylus labyrinthicus,laby,Mimosa 01
Leptodactylus latrans,latrans,Baía Negra 01
Leptodactylus latrans,latrans,Baía Negra 02
Leptodactylus podicipinus,podi,Três Lagoas 01
Leptodactylus podicipinus,podi,Três Lagoas 02
Leptodactylus podicipinus,podi,Barranco Alto 01
Leptodactylus podicipinus,podi,Barranco Alto 02
Leptodactylus podicipinus,podi,BEP 01
Leptodactylus podicipinus,podi,BEP 02
Leptodactylus podicipinus,podi,Brejo Bonito
Leptodactylus podicipinus,podi,Camapuã
Leptodactylus podicipinus,podi,Chaco 02
Leptodactylus podicipinus,podi,Chaco 03
Leptodactylus podicipinus,podi,Baía Negra 01
Leptodactylus podicipinus,podi,Baía Negra 02
Leptodactylus podicipinus,podi,Ivinhema 01
Leptodactylus podicipinus,podi,Ivinhema 03
Leptodactylus podicipinus,podi,Mimosa 01
Leptodactylus podicipinus,podi,Taquari
Lysapsus limellum,lime,Barranco Alto 01
Lysapsus limellum,lime,Barranco Alto 02
Lysapsus limellum,lime,BEP 02
Lysapsus limellum,lime,Chaco 01
Lysapsus limellum,lime,Chaco 02
Lysapsus limellum,lime,Chaco 03
Lysapsus limellum,lime,Baía Negra 01
Lysapsus limellum,lime,Baía Negra 02
Phyllomedusa sauvagii,sauva,Mimosa 02
Physalaemus albonotatus,albon,BEP 01
Physalaemus albonotatus,albon,BEP 02
Physalaemus albonotatus,albon,Chaco 01
Physalaemus albonotatus,albon,Mimosa 01
Physalaemus albonotatus,albon,Mimosa 02
Physalaemus biligonigerus,bili,Chaco 01
Physalaemus cuvieri,cuvi,Ivinhema 01
Physalaemus cuvieri,cuvi,Ivinhema 02
Physalaemus cuvieri,cuvi,Mimosa 01
Physalaemus nattereri,natte,Mimosa 01
Pithecopus azureus,azureus,Baía Negra 02
Pithecopus azureus,azureus,Ivinhema 03
Pithecopus azureus,azureus,Mimosa 01
Pithecopus azureus,azureus,Mimosa 02
Pithecopus azureus ,azureus,Ivinhema 01
Pithecopus azureus ,azureus,Ivinhema 02
Pristimantis dundeei,dund,Taquari
Pseudis platensis,pseudis,Barranco Alto 01
Pseudis platensis,pseudis,Barranco Alto 02
Pseudis platensis,pseudis,Chaco 01
Pseudis platensis,pseudis,Chaco 02
Pseudis platensis,pseudis,Ivinhema 02
Pseudis platensis,pseudis,Mimosa 01
Pseudopaludicola motorzinho,motor,Brejo Bonito
Pseudopaludicola motorzinho,motor,Chaco 01
Pseudopaludicola motorzinho,motor,Chaco 03
Rhinella bergi,bergi,Chaco 02
Rhinella bergi,bergi,Chaco 03
Rhinella bergi,bergi,Baía Negra 02
Rhinella diptycha,dipt,Três Lagoas 02
Rhinella diptycha,dipt,BEP 02
Rhinella diptycha,dipt,Chaco 03
Rhinella diptycha,dipt,Ivinhema 01
Rhinella diptycha,dipt,Ivinhema 03
Rhinella diptycha ,dipt,Baía Negra 01
Rhinella diptycha ,dipt,Baía Negra 02
Rhinella major,major,Chaco 01
Rhinella major,major,Chaco 02
Rhinella major,major,Chaco 03
Scinax acuminatus,acu,BEP 02
Scinax acuminatus,acu,Baía Negra 01
Scinax constrictus,const,Chaco 02
Scinax constrictus,const,Baía Negra 01
Scinax fuscomarginatus,fuscoma,Barranco Alto 01
Scinax fuscomarginatus,fuscoma,Brejo Bonito
Scinax fuscomarginatus,fuscoma,Ivinhema 01
Scinax fuscomarginatus,fuscoma,Ivinhema 02
Scinax fuscomarginatus,fuscoma,Ivinhema 03
Scinax fuscovarius,fuscov,Ivinhema 02
Scinax fuscovarius,fuscov,Ivinhema 03
Scinax fuscovarius,fuscov,Mimosa 01
Scinax fuscovarius,fuscov,Mimosa 02
Scinax nasicus,nasicus,Barranco Alto 01
Scinax nasicus,nasicus,BEP 01
Scinax nasicus,nasicus,Brejo Bonito
Scinax nasicus,nasicus,Chaco 01
Scinax nasicus,nasicus,Baía Negra 02
Scinax nasicus,nasicus,Ivinhema 01
Scinax nasicus,nasicus,Ivinhema 02
Scinax squalirostris,squa,Ivinhema 03
Trachycephalus typhonius,typho,BEP 01
Trachycephalus typhonius,typho,Chaco 01
Trachycephalus typhonius,typho,Chaco 02
Trachycephalus typhonius,typho,Baía Negra 02
Trachycephalus typhonius,typho,Ivinhema 02
