	B_alb	B_geo	B_pun	B_ran	D_jim	D_min	D_nan	L_cha	L_lab	L_pod	P_sau	P_alb	P_cuv	P_azu	P_dun	P_pla	P_mot	S_fut	S_fus			
Ann	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0			
Anu	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Ara	4	1	0	4	0	1	6	2	0	6	0	0	1	0	0	1	0	3	2			
Bla	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0			
Col	0	0	0	4	0	1	3	5	4	7	0	0	0	0	0	2	1	2	1			
Coleoptera_larvae	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0			
Coll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Dipl	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0			
Dip	0	0	0	2	1	0	7	0	0	0	0	0	1	0	0	0	0	0	1			
Diptera_larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Formicidae	0	0	0	1	0	0	4	16	1	10	0	3	8	0	2	0	0	2	0			
Hem	2	0	1	0	1	11	18	2	1	8	1	0	0	4	0	0	0	15	0			
Hym	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	1	0	0			
Insect_eggs	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Isoptera	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	2	0			
Lep	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Lepidoptera_larvae	0	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1			
Man	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2			
NI	0	0	1	1	1	0	4	0	0	0	0	0	0	1	1	0	0	3	0			
NI_larvae	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			
Odo	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0			
Odonata_nymph	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			
Ort	3	1	1	1	1	0	6	1	0	2	0	0	0	1	0	1	0	0	0			
Pha	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			
Pso	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Pul	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			
