	B_pun	B_ran	D_nan	E_mat	L_buf	L_cha	L_ele	L_fus	L_pod	L_lim	P_alb	P_bil	P_pla	P_mot	R_ber	R_dip	R_maj	S_con	S_nas	T_typ
Ann	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Anu	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ara	1	0	9	0	3	17	0	0	1	15	0	0	2	0	0	0	0	1	0	0
Bla	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Col	0	3	0	0	8	61	2	1	4	6	0	0	2	0	9	32	3	0	1	2
Coleoptera_larvae	0	0	0	0	2	3	0	0	0	1	0	0	5	0	9	0	0	0	0	0
Coll	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Dip	2	0	10	0	5	14	0	0	0	23	0	0	1	3	0	0	0	3	0	0
Diptera_larvae	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Formicidae	0	0	3	23	10	22	0	0	1	1	5	0	0	2	482	1	93	0	0	0
Hem	0	0	13	0	6	35	2	1	3	26	0	2	3	2	0	0	0	3	0	1
Hym	1	1	1	0	2	11	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Hymenoptera_larvae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isoptera	0	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Ixo	0	0	2	0	2	4	0	0	0	1	0	0	0	0	6	0	0	0	0	0
Lep	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Lepidoptera_larvae	0	0	3	0	1	6	0	0	0	3	0	0	0	0	0	0	0	1	0	0
NI	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NI_larvae	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Odo	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Odonata_nymph	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ort	1	0	1	0	2	20	0	1	1	5	0	0	4	2	0	0	0	0	1	0
Pul	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tad	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thy	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
