	B_ran	D_jim	D_min	D_nan	D_san	E_bic	L_cha	L_fus	L_pod	P_cuv	P_azu	P_pla	R_dip	S_fut	S_fus	S_nas	S_squ	T_typ		
Ara	0	1	1	2	0	0	5	0	11	0	1	1	0	2	1	1	0	0		
Bla	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0		
Chi	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0		
Col	2	0	0	3	0	8	25	0	13	3	1	0	7	2	0	1	0	1		
Coleoptera_larvae	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0		
Coll	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0		
Dip	0	1	1	2	1	0	2	0	10	0	2	0	0	2	0	0	1	0		
Formicidae	1	0	0	1	0	173	31	0	4	3	0	1	33	1	0	0	0	0		
Hem	1	0	2	16	0	0	5	0	19	1	6	1	0	1	0	0	0	0		
Hir	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
Hym	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0		
Isoptera	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0		
Ixo	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0		
Lepidoptera_larvae	0	0	2	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0		
Man	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
NI	0	0	0	5	0	1	2	0	1	0	1	0	0	0	0	0	0	0		
NI_larvae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
Odo	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
Opi	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		
Ort	2	1	0	1	0	0	4	0	1	0	0	3	0	0	0	0	0	0		
Ple	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Pul	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Tri	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Ver	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
