ext	axis	value	type	site
1	three	0.194706104	interaction	pantanal
2	three	0.150229761	interaction	pantanal
3	three	0.142485554	interaction	pantanal
4	three	0.142926766	interaction	pantanal
5	three	0.138839403	interaction	pantanal
6	three	0.139811512	interaction	pantanal
7	three	0.132041027	interaction	pantanal
8	three	0.127944401	interaction	pantanal
9	three	0.104178638	interaction	pantanal
10	three	0.103856786	interaction	pantanal
11	three	0.101548915	interaction	pantanal
12	three	0.103890976	interaction	pantanal
13	three	0.101591065	interaction	pantanal
14	three	0.099884289	interaction	pantanal
15	three	0.094381448	interaction	pantanal
16	three	0.072249552	interaction	pantanal
17	three	0.041321438	interaction	pantanal
1	three	0.063727997	functional	pantanal
2	three	0.06023815	functional	pantanal
3	three	0.060099523	functional	pantanal
4	three	0.062159744	functional	pantanal
5	three	0.058095237	functional	pantanal
6	three	0.057838227	functional	pantanal
7	three	0.057002823	functional	pantanal
8	three	0.05311661	functional	pantanal
9	three	0.051591257	functional	pantanal
10	three	0.052749135	functional	pantanal
11	three	0.053189481	functional	pantanal
12	three	0.043534048	functional	pantanal
13	three	0.039798918	functional	pantanal
14	three	0.041501144	functional	pantanal
15	three	0.041678565	functional	pantanal
16	three	0.035009947	functional	pantanal
17	three	0.027204593	functional	pantanal
1	three	0.006468612	phylogenetic	pantanal
2	three	0.006395363	phylogenetic	pantanal
3	three	0.00649736	phylogenetic	pantanal
4	three	0.006648983	phylogenetic	pantanal
5	three	0.005383122	phylogenetic	pantanal
6	three	0.007319731	phylogenetic	pantanal
7	three	0.00547064	phylogenetic	pantanal
8	three	0.007371892	phylogenetic	pantanal
9	three	0.008134669	phylogenetic	pantanal
10	three	0.006798705	phylogenetic	pantanal
11	three	0.006854395	phylogenetic	pantanal
12	three	0.007117595	phylogenetic	pantanal
13	three	0.006713526	phylogenetic	pantanal
14	three	0.007555817	phylogenetic	pantanal
15	three	0.007694609	phylogenetic	pantanal
16	three	0.007837881	phylogenetic	pantanal
17	three	0.008029776	phylogenetic	pantanal
1	four	0.043330724	interaction	pantanal
2	four	0.033736963	interaction	pantanal
3	four	0.032179723	interaction	pantanal
4	four	0.030996296	interaction	pantanal
5	four	0.028679578	interaction	pantanal
6	four	0.027719393	interaction	pantanal
7	four	0.02534146	interaction	pantanal
8	four	0.023848198	interaction	pantanal
9	four	0.018390669	interaction	pantanal
10	four	0.017724421	interaction	pantanal
11	four	0.01740875	interaction	pantanal
12	four	0.010502727	interaction	pantanal
13	four	0.01107052	interaction	pantanal
14	four	0.010414319	interaction	pantanal
15	four	0.008610709	interaction	pantanal
16	four	0.006001457	interaction	pantanal
17	four	0.041321438	interaction	pantanal
1	four	0.010383578	functional	pantanal
2	four	0.010073269	functional	pantanal
3	four	0.009846676	functional	pantanal
4	four	0.007712073	functional	pantanal
5	four	0.006072394	functional	pantanal
6	four	0.005769523	functional	pantanal
7	four	0.005742095	functional	pantanal
8	four	0.004909668	functional	pantanal
9	four	0.004899011	functional	pantanal
10	four	0.005704669	functional	pantanal
11	four	0.004982026	functional	pantanal
12	four	0.003779139	functional	pantanal
13	four	0.0026252	functional	pantanal
14	four	0.002707308	functional	pantanal
15	four	0.002716623	functional	pantanal
16	four	0.001564433	functional	pantanal
17	four	0.001165127	functional	pantanal
1	four	0.000411209	phylogenetic	pantanal
2	four	0.000405361	phylogenetic	pantanal
3	four	0.000411878	phylogenetic	pantanal
4	four	0.000429125	phylogenetic	pantanal
5	four	0.00042812	phylogenetic	pantanal
6	four	0.000405358	phylogenetic	pantanal
7	four	0.00045647	phylogenetic	pantanal
8	four	0.000520138	phylogenetic	pantanal
9	four	0.000515931	phylogenetic	pantanal
10	four	0.000477556	phylogenetic	pantanal
11	four	0.000499045	phylogenetic	pantanal
