	size	clutch_size	mass	Fos	Ter	Aqu	Arb	mode
A_dyp	23.31	86	1.25	1	1	1	0	30
B_alb	39.623125	774.5	3.86875	0	0	1	1	1
B_geo	40.87428571	2243	3.271428571	0	1	1	1	2
B_pun	32.1226087	298.5	2.165217391	0	1	0	1	1
B_ran	52.47333333	1656.5	10.33492063	0	1	0	1	1
D_jim	19.42263158	434	0.463157895	0	1	1	1	1
D_min	19.9022	292	0.576	0	1	0	1	1
D_nan	18.59455357	325.5	0.428930818	0	1	1	0	1
D_san	16.03714286	95	0.214285714	0	1	1	1	1
E_bic	21.67575758	929	0.93030303	1	1	1	0	1
E_mat	19.77921569	466.8	0.801960784	0	1	1	0	1
L_buf	40.60057143	487.5	7.945714286	1	1	1	0	30
L_cha	47.92386364	8225.5	15.88913636	0	1	1	1	11
L_ele	33.41	326	3.333333333	1	1	1	0	30
L_fur	34.45	73	4.5	1	1	1	0	30
L_fus	35.615	149	7.75	0	1	1	0	30
L_lab	111.622	2124.5	194.646	0	1	1	0	13
L_lat	105.35	2782.5	139.8285714	0	1	1	0	11
L_pod	28.79074286	2330.5	3.083428571	0	1	1	0	13
L_lim	16.41704142	113.5	0.668047337	1	0	1	0	1
P_alb	27.42888889	785.5	1.933333333	0	1	1	0	11
P_bil	25.4025	1010	2.45	0	1	1	0	11
P_cuv	27.58333333	1144	2.055555556	0	1	1	1	11
P_nat	40.13	3032.5	9.8	1	1	0	0	11
P_sau	60.56	515	17.7	0	1	1	1	24
P_azu	36.74902439	96	2.624390244	0	0	0	1	24
P_dun	28.135	48	2.45	0	1	0	0	23
P_pla	47.06466667	217	18.23333333	0	0	1	0	1
P_mot	11.84833333	32	0.2	0	1	1	0	1
R_ber	33.54948718	4016	4.941666667	0	1	0	0	1
R_dip	118.1494444	1608.5	228.2111111	0	1	0	0	1
R_maj	37.92	6269	9.733333333	0	1	0	0	1
S_acu	41.78416667	973	6.975	0	1	1	1	1
S_con	24.05	207	0.95	0	1	0	0	1
S_fut	19.50857143	303	0.425396825	0	1	1	1	1
S_fus	39.34388889	2684	4.794444444	0	1	1	1	1
S_nas	28.4075	13	1.958333333	0	1	1	1	1
S_squ	21.49	237	0.6	0	1	1	1	1
T_typ	65.702	5005.5	23.08	0	0	0	1	1
