long,'lat','acu'
-52.69181,-32.95,1
-52.58333,-32.5,1
-60.634039,-32.121603,1
-60.471863,-31.52424,1
-60.473456,-31.510385,1
-59.18601,-30.386129,1
-60.347742,-29.427684,1
-60.381425,-29.423239,1
-59.053142,-29.129851,1
-58.084041,-28.032697,1
-58.654632,-27.452976,1
-59.009285,-26.897272,1
-59.004305,-26.891866,1
-60.41796,-26.824331,1
-59.597239,-26.810907,1
-59.596997,-26.810796,1
-59.607568,-26.808521,1
-59.611071,-26.80433,1
-59.618393,-26.79322,1
-59.61967,-26.790797,1
-57.32,-26.4,1
-58.830862,-26.305701,1
-58.944167,-26.181389,1
-58.949697,-26.180656,1
-58.047981,-26.035499,1
-58.557754,-25.887074,1
-57.15,-25.6333,1
-57.56156,-25.51109,1
-57.6362,-25.3005,1
-58.147305,-25.158989,1
-57.55,-25.04,1
-60.995924,-25.009452,1
-60.565546,-24.72135,1
-57.233639,-24.692472,1
-58.0359,-24.5594,1
-58.03,-24.5,1
-60.270396,-24.199256,1
-63.333367,-24.021971,1
-58.445,-23.9252,1
-58.4667,-23.8667,1
-59.95,-23.71667,1
-58.7301,-23.6049,1
-58.51,-23.49,1
-58.8598,-23.4304,1
-59.07,-23.3,1
-63.934039,-23.208899,1
-64.094503,-23.20772,1
-59.18333,-23.2,1
-57.03,-23.07,1
-59.359131,-22.963451,1
-56.7,-22.82,1
-60.343647,-22.354185,1
-60.03,-22.35,1
-60.035,-22.3071,1
-57.7206,-21.7092,1
-57.712,-21.7051,1
-57.7424,-21.7036,1
-57.720833,-21.701944,1
-57.8821,-21.6986,1
-57.7409,-21.697,1
-57.7387,-21.6931,1
-57.738,-21.6928,1
-57.7382,-21.6927,1
-57.7385,-21.6925,1
-57.716,-21.692,1
-57.7367,-21.6913,1
-57.7354,-21.6903,1
-57.7344,-21.671,1
-57.7173,-21.6692,1
-57.7181,-21.6691,1
-57.824,-21.649,1
-57.7078,-21.6399,1
-57.7051,-21.638,1
-63.45807,-21.260005,1
-58.5,-21.1333,1
-54.751667,-20.538056,1
-55.80690002,-20.48360062,1
-55.78720093,-20.47109985,1
-56.5167,-20.2,1
-56.6944,-20.1319,1
-56.615556,-20.086667,1
-57.45,-19.6167,1
-57.036,-19.6062,1
-56.1506,-19.5779,1
-57.0191,-19.5772,1
-57.018892,-19.576983,1
-57.0192,-19.5769,1
-57.018906,-19.576734,1
-56.244,-19.576,1
-57.019,-19.576,1
-57.021667,-19.575221,1
-57,-19.567,1
-57.0072,-19.5172,1
-56.1212,-19.5136,1
-57.0073,-19.5101,1
-57.009,-19.5046,1
-57.0109,-19.4962,1
-57.0428,-19.4904,1
-57.0272,-19.4852,1
-57.037544,-19.485006,1
-57.0139,-19.481,1
-57.0145,-19.479,1
-57.0084,-19.4746,1
-57.0092,-19.4742,1
-57.0136,-19.4723,1
-57.0268,-19.4712,1
-57.0165,-19.4711,1
-56.962,-19.338,1
-57.622222,-19.240833,1
-57.510619,-19.022219,1
-57.6533,-19.0092,1
-57.65330124,-19.00919914,1
-57.60169983,-19.00469971,1
-56.621944,-18.989078,1
-56.7233,-18.731,1
-56.371208,-18.593556,1
-57.474722,-18.090556,1
-56.767181,-17.355872,1
-56.8,-17.3333,1
-56.0318,-16.8204,1
-56.9485,-16.7845,1
-56.878234,-16.759351,1
-56.878883,-16.758449,1
-56.872021,-16.756259,1
-56.8221,-16.6856,1
-57.8369,-16.5165,1
-56.675455,-16.504623,1
-56.621029,-16.379224,1
-56.620954,-16.379142,1
-56.621876,-16.378576,1
-56.6228,-16.2567,1
-56.5281,-15.8315,1
-55.8894,-15.48,1
-57.0187,-19.5765,1
-57.5106,-19.0222,1
