long,'lat','albo'
-49.8783,-6.49694,1
-63.0333,-8.15,1
-56.4934,-9.4738,1
-56.744,-9.5486,1
-46.6731,-9.59417,1
-56.6821,-9.5944,1
-54.9728,-9.6297,1
-56.4767,-9.66472,1
-60.2631,-9.8603,1
-56.0861,-9.87556,1
-56.3661,-10.055,1
-46.6594,-10.1683,1
-56.9765,-10.3517,1
-56.9455,-10.3917,1
-46.4211,-10.5475,1
-51.287542,-11.004642,1
-62.061944,-11.261111,1
-62.060833,-11.261667,1
-61.992222,-12.022778,1
-48.5396,-12.0371,1
-46.4361,-12.4039,1
-57.995,-12.4251,1
-60.2846,-12.5518,1
-65.81,-12.77,1
-54.7664,-12.9931,1
-41.3708,-13.0053,1
-55.9402,-13.0556,1
-41.7728,-13.1519,1
-56.7834,-13.5907,1
-44.4328,-13.6194,1
-57.9926,-13.7101,1
-42.475,-14.0694,1
-56.8171,-14.0943,1
-47.51,-14.1325,1
-48.0783,-14.1514,1
-54.2193,-15.0984,1
-58.7233,-15.1055,1
-55.5396,-15.1071,1
-59.983,-15.1875,1
-53.9633,-15.2406,1
-53.9628,-15.2406,1
-53.9467,-15.2484,1
-58.4572,-15.2558,1
-58.8619,-15.3173,1
-42.6236,-15.3394,1
-55.78,-15.42,1
-55.7497,-15.4606,1
-55.8894,-15.48,1
-70.130418,-15.48972,1
-55.1689,-15.5467,1
-42.5397,-15.6097,1
-52.1773,-15.63,1
-47.9297,-15.7797,1
-47.9167,-15.7833,1
-42.8714,-15.8286,1
-51.3967,-16.0078,1
-57.68333,-16.06667,1
-48.9499,-16.3289,1
-45.0694,-16.3686,1
-55.4364,-16.4825,1
-42.8897,-16.5594,1
-42.8622,-16.8003,1
-48.9552,-16.9872,1
-46.0094,-17.0097,1
-53.6392,-17.2437,1
-49.0167,-17.3028,1
-51.1812,-17.3587,1
-54.436,-17.646,1
-48.7257,-17.6989,1
-40.7664,-17.7031,1
-50.9204,-17.7895,1
-41.5053,-17.8575,1
-44.18,-17.8733,1
-44.173,-17.8734,1
-44.5775,-17.8867,1
-51.7199,-17.8889,1
-44.5778,-17.8889,1
-44.75,-18,1
-43.3908,-18.0042,1
-44.2669,-18.1092,1
-45.2417,-18.2064,1
-57.464,-18.252,1
-53.466,-18.263,1
-42.1433,-18.3244,1
-50.4517,-18.4483,1
-43.3067,-18.4658,1
-53.1292,-18.5439,1
-43.3794,-18.6047,1
-44.4308,-18.7564,1
-47.8863,-18.8031,1
-43.65,-19,1
-43.425,-19.0372,1
-50.6671,-19.0439,1
-48.3481,-19.0491,1
-46.1389,-19.0786,1
-43.1417,-19.0889,1
-46.6897,-19.1114,1
-43.7144,-19.1689,1
-43.3211,-19.4144,1
-43.1125,-19.4494,1
-45.6017,-19.4633,1
-44.2467,-19.4658,1
-42.5367,-19.4683,1
-41.0639,-19.4958,1
-43.745,-19.5136,1
-47.291,-19.5479,1
-46.9506,-19.5508,1
-43.22689819,-19.61919975,1
-43.2269,-19.6192,1
-43.8897,-19.6272,1
-43.88333,-19.63333,1
-43.8937,-19.6385,1
-47.716,-19.692,1
-42.1392,-19.7897,1
-43.3622,-19.8261,1
-42.3161,-19.8289,1
-40.58,-19.83,1
-43.93333,-19.91667,1
-43.9333,-19.9167,1
-43.9378,-19.9208,1
-46.8231,-19.9222,1
-40.6003,-19.9356,1
-43.4872,-19.9458,1
-43.8467,-19.9856,1
-44.2739,-20.0492,1
-44.3017,-20.0703,1
-43.5053,-20.0714,1
-43.4075,-20.0747,1
-49.915,-20.0796,1
-43.7894,-20.0875,1
-44.8839,-20.1389,1
-44.1997,-20.1433,1
-49.6995,-20.1625,1
-50.8937,-20.1852,1
-44.4211,-20.1967,1
-50.4851,-20.197,1
-50.485,-20.1972,1
-50.9267,-20.2109,1
-50.9266,-20.2113,1
-46.3658,-20.2453,1
-47.47,-20.25,1
-43.8014,-20.2533,1
-40.42,-20.2639,1
-40.52194444,-20.28111111,1
-50.2467,-20.284,1
-43.5081,-20.2875,1
-49.1977,-20.3411,1
-49.1979,-20.3412,1
-49.2008,-20.3515,1
-49.1982,-20.3578,1
-49.1933,-20.3633,1
-49.2388,-20.3641,1
-52.9291,-20.3701,1
-49.2751,-20.3745,1
-43.4161,-20.3778,1
-49.2526,-20.3792,1
-49.43,-20.39,1
-40.846944,-20.391389,1
-49.4343,-20.3915,1
-49.4344,-20.3916,1
-49.9722,-20.4252,1
-49.8942,-20.4519,1
-49.7799,-20.4819,1
-43.8578,-20.4997,1
-43.6919,-20.5208,1
-49.0594,-20.5242,1
-43.9833,-20.5353,1
-48.571,-20.5529,1
-41.18470001,-20.60359955,1
-49.6496,-20.6262,1
-49.3872,-20.6567,1
-48.5417,-20.7149,1
-48.5416,-20.7149,1
-46.6091,-20.7218,1
-51.6783,-20.7511,1
-49.7142,-20.7725,1
-49.3595,-20.7854,1
-49.2201,-20.7953,1
-49.3796,-20.8108,1
-56.4401,-20.8135,1
-49.3794,-20.8197,1
-49.5113,-20.8241,1
-49.3078,-20.8662,1
-49.3782,-20.8711,1
-49.2683,-20.9028,1
-49.2698,-20.9029,1
-48.4782,-20.9316,1
-49.1757,-20.9533,1
-52.0865,-20.9769,1
-48.55,-20.9833,1
-49.9738,-21.0152,1
-49.3781,-21.0429,1
-49.378,-21.0429,1
-41.3664,-21.0642,1
-49.5434,-21.0767,1
-55.83,-21.1353,1
-49.2905,-21.2013,1
-50.4389,-21.2061,1
-49.5,-21.3425,1
-45.4303,-21.5514,1
-47.7,-21.6,1
-47.7972,-21.6031,1
-48.5372,-21.6205,1
-47.47,-21.71,1
-49.358,-21.7369,1
-43.3689,-21.7772,1
-44.2558,-21.9111,1
-47.35,-21.9167,1
-47.42,-21.99,1
-47.89,-22.01,1
-47.6946,-22.1179,1
-45.2632,-22.2104,1
-42.5333,-22.2667,1
-48.4467,-22.2697,1
-42.98333,-22.28884,1
-48.5306,-22.3027,1
-49.06,-22.31,1
-49.6853,-22.4065,1
-47.56,-22.41,1
-49.6833,-22.4131,1
-49.6839,-22.4135,1
-45.4524,-22.424,1
-48.8659,-22.4317,1
-45.2782,-22.5074,1
-52.16,-22.53,1
-44.75,-22.5667,1
-52.3009,-22.6049,1
-52.1689,-22.6169,1
-52.1716,-22.6214,1
-56.0583,-22.6333,1
-54.8222,-22.6342,1
-50.41,-22.66,1
-47.33,-22.73,1
-48.5711,-22.7319,1
-48.1276,-22.7844,1
-47.4275,-22.7998,1
-48.1167,-22.8,1
-49.92,-22.83,1
-48.4333,-22.8667,1
-46.9833,-22.8833,1
-48.4448,-22.8859,1
-48.492,-22.8978,1
-49.25,-22.9167,1
-46.542,-22.9482,1
-49.87,-22.97,1
-45.5613,-23.0311,1
-50.0736,-23.0464,1
-50.7511,-23.08,1
-49.9694,-23.1606,1
-49.7569,-23.195,1
-55.95,-23.22,1
-51.0481,-23.2692,1
-46.22,-23.31,1
-51.9386,-23.4253,1
-48.41,-23.49,1
-45.84,-23.53,1
-46.6167,-23.5333,1
-46.61667,-23.53333,1
-46.721,-23.5634,1
-54.83,-23.63,1
-45.83,-23.63,1
-46.55,-23.7,1
-47.42,-23.71,1
-51.8567,-23.8656,1
-51.9783,-23.9134,1
-47.5,-23.96,1
-46.7353,-23.9795,1
-46.7356,-23.9807,1
-46.7428,-23.9871,1
-49.7058,-24.2511,1
-50.2524,-24.5607,1
-49.9231,-24.578,1
-50,-24.7833,1
-55.94,-25.07,1
-50.5478,-25.352,1
-49.0769,-25.3656,1
-49.25,-25.4167,1
-49.1956,-25.5306,1
-49.3122,-25.6525,1
-54.319289,-25.68029,1
-54.439095,-25.696505,1
-49.1791,-25.9273,1
-54.283044,-25.997443,1
-54.95461,-26.66415,1
-55.67,-26.76,1
-55.67,-26.83,1
-55.725,-27.1839,1
-55.460014,-27.190695,1
-53.8591,-19.0142,1
-53.413,-18.1571,1
