long,'lat','albon'
-50.66939926,-11.6171999,1
-51.47999954,-20.87000084,1
-53.334385,-18.055027,1
-53.400122,-18.089578,1
-54.54639816,-21.80190086,1
-54.559786,-20.454742,1
-54.590319,-20.495908,1
-54.61065,-18.675203,1
-54.618611,-19.4275,1
-54.641336,-20.506544,1
-54.64640045,-20.44280052,1
-54.655089,-20.467167,1
-54.668,-16.5198,1
-54.78939819,-22.07889938,1
-54.82939911,-19.83169937,1
-54.876669,-20.759263,1
-54.905619,-19.804106,1
-54.9178,-15.8106,1
-54.96829987,-15.96529961,1
-55.466667,-24.133333,1
-55.533333,-24.133333,1
-55.5396,-15.1071,1
-55.5959,-14.0751,1
-55.6333,-26.5833,1
-55.725,-27.1839,1
-55.7872,-20.4711,1
-55.78720093,-20.47109985,1
-55.805279,-26.523333,1
-55.808887,-26.5275,1
-55.8894,-15.48,1
-56.08333,-15.58333,1
-56.087017,-19.588499,1
-56.09669876,-15.59609985,1
-56.1129,-19.5638,1
-56.1141,-19.565,1
-56.1144,-19.5543,1
-56.1158,-19.5571,1
-56.1212,-19.5136,1
-56.1305,-19.5346,1
-56.146,-19.5723,1
-56.1496,-19.5683,1
-56.1506,-19.5779,1
-56.224,-19.555,1
-56.244,-19.576,1
-56.3658,-15.2047,1
-56.382,-21.102,1
-56.4167,-14.8333,1
-56.428,-14.8358,1
-56.429,-21.436,1
-56.433,-21.299,1
-56.44,-21.163,1
-56.48189926,-21.12109947,1
-56.4819,-21.1211,1
-56.4833,-24.1,1
-56.5125,-22.1417,1
-56.515,-20.996,1
-56.516179,-20.982435,1
-56.516944,-20.981389,1
-56.521065,-20.968508,1
-56.5281,-15.8315,1
-56.615556,-20.086667,1
-56.619056,-18.988054,1
-56.619111,-18.988056,1
-56.61937,-18.987796,1
-56.62279892,-16.25670052,1
-56.6228,-16.2567,1
-56.675455,-16.504623,1
-56.6944,-20.1319,1
-56.71500015,-20.53860092,1
-56.7233,-18.731,1
-56.723306,-21.133056,1
-56.723306,-21.117417,1
-56.723972,-21.135,1
-56.724361,-21.136278,1
-56.724556,-21.137444,1
-56.774853,-17.36461,1
-56.779,-26.0921,1
-56.783333,-19.05,1
-56.7834,-13.5907,1
-56.8,-24.116667,1
-56.8171,-14.0943,1
-56.8755,-16.7543,1
-56.908,-19.207,1
-57,-19.567,1
-57.0092,-19.4742,1
-57.0145,-19.479,1
-57.0165,-19.4711,1
-57.0191,-19.5772,1
-57.019167,-19.577056,1
-57.0197,-19.699,1
-57.021667,-19.575221,1
-57.0284,-22.8592,1
-57.03,-23.07,1
-57.03,-26.79,1
-57.0361,-19.4849,1
-57.0428,-19.4904,1
-57.05,-26.02,1
-57.0763,-19.446,1
-57.15,-22.3333,1
-57.15,-25.6333,1
-57.26,-23.49,1
-57.2667,-27.4,1
-57.28,-23.88,1
-57.28,-23.42,1
-57.35,-25.1,1
-57.3761,-25.3141,1
-57.3898,-23.367,1
-57.474722,-18.090556,1
-57.5353,-25.4517,1
-57.6,-25.47,1
-57.622222,-19.240833,1
-57.6248,-11.0586,1
-57.65,-25.35,1
-57.65305556,-19.00944444,1
-57.6533,-19.0092,1
-57.65330124,-19.00919914,1
-57.67890167,-16.07060051,1
-57.702,-21.6378,1
-57.7051,-21.638,1
-57.716908,-21.692938,1
-57.7173,-21.6692,1
-57.720833,-21.701944,1
-57.7344,-21.671,1
-57.7354,-21.6903,1
-57.7367,-21.6913,1
-57.737,-21.6304,1
-57.738,-21.6928,1
-57.8021,-15.483,1
-57.824,-21.649,1
-57.8369,-16.5165,1
-57.8533,-23.5166,1
-57.898105,-21.714593,1
-57.933889,-31.288056,1
-58.00360107,-15.32330036,1
-58.004972,-15.323042,1
-58.00497222,-15.32304167,1
-58.076944,-25.079167,1
-58.089444,-25.068056,1
-58.113333,-25.040556,1
-58.14,-16.462,1
-58.1494,-16.471,1
-58.166546,-25.990905,1
-58.20718,-26.334566,1
-58.26902,-31.879257,1
-58.3104,-14.4346,1
-58.4395,-15.0853,1
-58.4572,-15.2558,1
-58.4667,-23.8667,1
-58.527948,-25.882305,1
-58.58,-15.1,1
-58.630955,-27.347269,1
-58.7234,-15.1056,1
-58.7256,-15.1258,1
-58.7301,-23.6049,1
-58.7401,-15.126,1
-58.8619,-15.3173,1
-58.944167,-26.181389,1
-59.07,-23.36,1
-59.202778,-23.217778,1
-59.33530045,-15.22609997,1
-59.465,-18.2133,1
-59.58,-20,1
-59.618393,-26.79322,1
-59.618425,-26.793199,1
-59.618769,-26.789916,1
-59.620931,-26.790277,1
-59.87,-20.63,1
-59.9677,-22.349,1
-60.035,-22.3071,1
-60.084322,-31.099633,1
-60.08432222,-31.09963333,1
-60.6667,-23.0833,1
-60.674587,-31.637978,1
-60.72595,-22.407717,1
-60.758228,-31.658325,1
-60.895852,-25.32757,1
-60.995924,-25.009452,1
-61.113551,-25.021522,1
-61.8374,-21.0069,1
-62,-16.36,1
-62.059021,-22.575974,1
-63.068602,-17.776036,1
-63.29,-17.52,1
-63.45807,-21.260005,1
-63.575042,-21.791811,1
-64.269642,-27.730825,1
-64.6333,-25.3833,1
-57.0217,-19.5752,1
-57.0187,-19.5765,1
-57.7169,-21.6929,1
-56.524,-20.9659,1
-56.5211,-20.9685,1
