long,'lat','azureus'
-64.0694722,-23.1742222,1
-63.29,-17.52,1
-62,-16.36,1
-61.08,-14.91,1
-60.72595,-22.407717,1
-60.4325,-22.390183,1
-60.432483,-22.390183,1
-60.051483,-22.3494,1
-58.88333333,-27.43333333,1
-58.86925,-27.42877778,1
-57.9510556,-25.2477222,1
-57.8821,-21.6986,1
-57.824,-21.649,1
-57.7424,-21.7036,1
-57.7409,-21.697,1
-57.737,-21.6222,1
-57.7344,-21.671,1
-57.720833,-21.701944,1
-57.7181,-21.6811,1
-57.7173,-21.6692,1
-57.7051,-21.638,1
-57.67890167,-16.07060051,1
-57.65330124,-19.00919914,1
-57.624533,-23.470983,1
-57.622222,-19.240833,1
-57.510619,-19.022219,1
-57.280383,-23.456067,1
-57.0763,-19.446,1
-57.05,-26.02,1
-57.0428,-19.4904,1
-57.0245,-19.5735,1
-57.0192,-19.5769,1
-57.0191,-19.5772,1
-57.019,-19.576,1
-57.0165,-19.4711,1
-57.0145,-19.479,1
-57.0092,-19.4742,1
-57.009,-19.5046,1
-57.0072,-19.5172,1
-56.783333,-19.05,1
-56.779,-26.1011,1
-56.779,-26.0921,1
-56.71500015,-20.53860092,1
-56.6944,-20.1319,1
-56.661083,-18.990278,1
-56.63575,-19.004561,1
-56.62279892,-16.25670052,1
-56.62277778,-16.25694444,1
-56.615556,-20.086667,1
-56.521065,-20.968508,1
-56.518,-23.8313,1
-56.517567,-21.116792,1
-56.516179,-20.982435,1
-56.515,-20.996,1
-56.5125,-22.1417,1
-56.508889,-20.966667,1
-56.48189926,-21.12109947,1
-56.394478,-19.018089,1
-56.371208,-18.593556,1
-56.368581,-19.004669,1
-56.3657,-18.597989,1
-56.1514,-19.5727,1
-56.1506,-19.5779,1
-56.13809967,-21.4803009,1
-56.1305,-19.5346,1
-56.1212,-19.5136,1
-56.1206,-19.5697,1
-56.1158,-19.5571,1
-56.1144,-19.5543,1
-56.1141,-19.565,1
-56.1026,-19.5655,1
-55.80690002,-20.48360062,1
-55.78720093,-20.47109985,1
-55.066944,-20.158222,1
-54.905619,-19.804106,1
-54.876669,-20.759263,1
-54.84420013,-18.91810036,1
-54.82939911,-19.83169937,1
-54.751667,-20.538056,1
-54.75141,-20.538759,1
-54.64640045,-20.44280052,1
-54.560833,-19.636667,1
-53.657092,-22.921766,1
-51.7734,-17.9385,1
-51.47999954,-20.87000084,1
-51.41889954,-20.36720085,1
-51.3944,-20.3954,1
-50.98501,-9.975991,1
-50.14027778,-15.93444444,1
-57.5564,-19.0184,1
-53.6571,-22.9218,1
-53.7471,-22.9008,1
-53.6439,-22.889,1
-56.524,-20.9659,1
-56.5211,-20.9685,1
