long,'lat','bergi'
-59.661111,-28.6225,1
-59.658333,-28.600556,1
-56.615556,-20.086667,1
-57.720833,-21.701944,1
-57.999333,-25.251306,1
-60.157389,-29.188417,1
-64.818801,-31.688825,1
-66.121205,-32.903935,1
-58.887052,-27.446419,1
-58.667953,-27.310499,1
-60.278958,-25.638796,1
-60.438786,-26.791176,1
-58.55141,-24.982389,1
-58.261715,-25.671868,1
-60.207229,-29.456793,1
-57.4141,-23.4071,1
-57.43,-23.4083,1
-57.05,-24.45,1
-58.0359,-24.5594,1
-57.8533,-23.5166,1
-60.1573889,-29.1884167,1
-59.6583333,-28.6005556,1
-57.9993333,-25.2513056,1
-59.6611111,-28.6225,1
-56.5281,-15.8315,1
-57.65330124,-19.00919914,1
-54.82939911,-19.83169937,1
-57.816304,-21.606489,1
-57.018906,-19.576734,1
-57.720915,-21.709952,1
-57.88249969,-21.69890022,1
-57.8163,-21.6065,1
-57.7209,-21.71,1
-57.5564,-19.0184,1
