long,'lat','bicolor'
-56.615556,-20.086667,1
-56.6944,-20.1319,1
-50.4851,-20.197,1
-50.485,-20.1972,1
-50.9267,-20.2109,1
-50.9266,-20.2113,1
-49.1977,-20.3411,1
-49.1979,-20.3412,1
-49.1982,-20.3578,1
-49.1933,-20.3633,1
-49.2388,-20.3641,1
-51.41889954,-20.36720085,1
-49.2526,-20.3792,1
-55.78720093,-20.47109985,1
-51.67829895,-20.75110054,1
-51.71,-20.77,1
-49.5378,-20.7829,1
-49.3794,-20.8197,1
-49.3059,-20.8378,1
-49.2908,-20.8526,1
-51.47999954,-20.87000084,1
-49.9287,-21.0344,1
-49.5434,-21.0767,1
-56.382,-21.102,1
-61.633333,-21.266667,1
-56.429,-21.436,1
-54.38389969,-21.46579933,1
-49.3945,-21.5842,1
-57.720833,-21.701944,1
-54.78939819,-22.07889938,1
-56.5125,-22.1417,1
-60.03,-22.35,1
-49.6954,-22.4053,1
-52.32,-22.51,1
-52.16,-22.53,1
-52.2341,-22.5446,1
-50.39,-22.59,1
-52.1669,-22.6169,1
-52.1679,-22.6189,1
-52.1716,-22.6214,1
-56.0583,-22.6333,1
-54.8222,-22.6342,1
-50.41,-22.66,1
-55.6167,-22.6751,1
-48.8982,-22.7764,1
-51.2311,-22.7803,1
-48.4448,-22.8859,1
-48.4941,-22.8902,1
-53.657092,-22.921766,1
-49.86999893,-22.96999931,1
-49.8705,-22.9794,1
-50.838056,-23.036944,1
-50.83805556,-23.03694444,1
-49.7069,-23.0407,1
-50.9131,-23.07,1
-49.8304,-23.0764,1
-49.8112,-23.0889,1
-49.9694,-23.1606,1
-50.7964,-23.1975,1
-51.0481,-23.2692,1
-51.1628,-23.3103,1
-48.72,-23.38,1
-57.4333,-23.4083,1
-57.43,-23.4083,1
-58.3667,-23.4333,1
-52.604722,-23.663333,1
-52.60472222,-23.66333333,1
-55.85,-23.7667,1
-56.2925,-23.8162,1
-50.4048,-23.85,1
-51.8567,-23.8656,1
-57.28,-23.88,1
-61.850695,-23.89583,1
-51.9507,-23.9031,1
-51.9783,-23.9134,1
-57.05,-24.45,1
-60.593913,-24.705342,1
-63.8047,-24.7386,1
-56.7667,-25.1667,1
-57.5333,-25.3333,1
-57.65,-25.35,1
-53.40810013,-25.43560028,1
-57.6,-25.47,1
