long,'lat','bili'
-65.583333,-25.05,1
-65.583333,-27.166667,1
-65.479401,-31.375418,1
-65.2657,-26.8607,1
-64.866831,-23.671574,1
-64.793466,-28.370539,1
-64.582919,-31.361412,1
-64.4667,-23.6333,1
-64.29193,-30.95916,1
-64.272474,-28.023698,1
-64.268888,-31.359793,1
-64.008337,-25.01014,1
-63.8047,-24.7386,1
-63.4824,-24.445,1
-63.45807,-21.260005,1
-63.29,-17.52,1
-63.001133,-35.01187,1
-62.999416,-35.010113,1
-62.999416,-35.011238,1
-62.999416,-35.009621,1
-62.999416,-35.010464,1
-62.999073,-35.010956,1
-62.998684,-35.009747,1
-62.9977,-35.010338,1
-62.100728,-33.615836,1
-62.100726,-33.615838,1
-62,-16.36,1
-61.715573,-26.262565,1
-61.65,-21.2,1
-61.61556,-21.08083,1
-61.55011,-34.509291,1
-61.17513,-31.394366,1
-61.156393,-30.203684,1
-61.106941,-31.386718,1
-61.063,-23.3078,1
-60.910858,-31.38343,1
-60.7,-31.6333,1
-60.586801,-34.847331,1
-60.559767,-22.388467,1
-60.343647,-22.354185,1
-60.188033,-32.599388,1
-60.04895,-22.347067,1
-60.035,-22.3071,1
-60.03,-22.35,1
-60,-23,1
-59.618404,-26.793218,1
-59.598537,-26.805693,1
-59.58,-20,1
-59.26256,-28.513667,1
-59.202778,-23.217778,1
-59.18601,-30.386129,1
-59.009285,-26.897425,1
-58.944167,-26.181389,1
-58.267363,-31.862975,1
-58.225111,-28.048514,1
-58.08,-32.799167,1
-57.898105,-21.714593,1
-57.88249969,-21.69890022,1
-57.8821,-21.6986,1
-57.7387,-21.6931,1
-57.7385,-21.6925,1
-57.7382,-21.6927,1
-57.737,-21.6304,1
-57.7367,-21.6913,1
-57.7344,-21.671,1
-57.726389,-21.658889,1
-57.720833,-21.701944,1
-57.7206,-21.7092,1
-57.7192,-21.6868,1
-57.718,-21.6813,1
-57.7173,-21.6692,1
-57.716908,-21.692938,1
-57.7051,-21.638,1
-57.702,-21.6378,1
-57.67,-25.27,1
-57.65330124,-19.00919914,1
-57.6533,-19.0092,1
-57.65,-25.35,1
-57.6362,-25.3005,1
-57.622222,-19.240833,1
-57.6,-25.47,1
-57.56156,-25.51109,1
-57.4667,-22.75,1
-57.4333,-23.4083,1
-57.43,-23.4083,1
-57.290583,-25.2499,1
-57.29045,-25.249683,1
-57.280383,-23.456067,1
-57.28,-23.42,1
-57.2667,-27.4,1
-57.15,-22.3333,1
-57.15,-25.6333,1
-57.0763,-19.446,1
-57.05,-26.02,1
-57.0361,-19.4849,1
-57.03,-23.07,1
-57.0284,-22.8592,1
-57.0268,-19.4712,1
-57.0205,-19.483,1
-57.0192,-19.5769,1
-57.0165,-19.4711,1
-57.0145,-19.479,1
-57.0139,-19.481,1
-57.0136,-19.4723,1
-57.0092,-19.4742,1
-57.009,-19.5046,1
-57.0084,-19.4746,1
-56.8,-25.4,1
-56.794167,-19.141944,1
-56.6944,-20.1319,1
-56.638922,-18.987461,1
-56.621944,-18.989078,1
-56.5125,-22.1417,1
-56.244,-19.576,1
-56.224,-19.555,1
-56.1506,-19.5779,1
-56.1496,-19.5683,1
-56.146,-19.5723,1
-56.1339,-19.5488,1
-56.1305,-19.5346,1
-56.1272,-19.5419,1
-56.1212,-19.5136,1
-56.1158,-19.5571,1
-56.1151,-19.5529,1
-56.1144,-19.5543,1
-56.1141,-19.565,1
-56.1129,-19.5638,1
-56.096667,-15.596111,1
