long,'lat','bufo'
-68.055571,-32.382652,1
-66.916695,-32.349803,1
-66.6019,-30.15,1
-66.533333,-34.066667,1
-66.29167,-30.48333,1
-66.125335,-32.600167,1
-66.095362,-32.595824,1
-66.063788,-32.512508,1
-65.969933,-32.354141,1
-65.680548,-32.230536,1
-65.480253,-31.376869,1
-65.458987,-31.36103,1
-65.458032,-31.362451,1
-65.070047,-32.014996,1
-65.069615,-32.017171,1
-65.069599,-32.017158,1
-64.887328,-30.179897,1
-64.848273,-29.638701,1
-64.3,-27.3833,1
-64.269461,-28.013778,1
-64.2,-28.71507,1
-64.1,-23.2167,1
-63.969476,-23.070823,1
-63.8047,-24.7386,1
-63.7634,-24.7009,1
-63.5667,-23.2,1
-63.56667,-23.2,1
-63.563734,-23.207606,1
-63.4824,-24.445,1
-63.247594,-23.929176,1
-63.236283,-25.603108,1
-62.7192,-17.659348,1
-62.616667,-14.666667,1
-62.23,-18.77,1
-62.217,-18.75,1
-61.8991,-23.9,1
-61.85,-23.9,1
-61.723729,-24.331617,1
-61.657825,-21.209117,1
-61.2833,-27.3167,1
-61.248,-21.5511,1
-61.096345,-25.182034,1
-61.0953,-21.662,1
-60.7833,-17.85,1
-60.4004,-20.4384,1
-60.035,-22.3071,1
-60.0333,-21.4469,1
-60.03,-22.35,1
-60,-23,1
-59.9677,-22.349,1
-59.88,-22.103,1
-59.773865,-22.631758,1
-59.618393,-26.79322,1
-59.612739,-26.793907,1
-59.596997,-26.810796,1
-59.58,-20,1
-59.3727,-22.9521,1
-59.18601,-30.386129,1
-59.07,-23.36,1
-59.07,-23.3,1
-58.944167,-26.181389,1
-58.8598,-23.4304,1
-58.445,-23.9252,1
-58.166546,-25.990905,1
-58.0359,-24.5594,1
-57.8825,-21.6989,1
-57.88249969,-21.69890022,1
-57.8821,-21.6986,1
-57.803056,-21.776111,1
-57.753839,-25.193699,1
-57.734722,-21.688889,1
-57.733889,-21.660833,1
-57.726389,-21.658889,1
-57.723611,-21.690556,1
-57.721111,-21.690278,1
-57.721111,-21.71,1
-57.720915,-21.709952,1
-57.720833,-21.701944,1
-57.720833,-21.709722,1
-57.72,-21.7,1
-57.718889,-21.703889,1
-57.716908,-21.692938,1
-57.713056,-21.703889,1
-57.711667,-21.710278,1
-57.705278,-21.638333,1
-57.695278,-21.633611,1
-57.6533,-19.0092,1
-57.6388,-21.5139,1
-57.63,-25.12013889,1
-57.468068,-25.611977,1
-56.6944,-20.1319,1
-57.7169,-21.6929,1
-57.7209,-21.71,1
