long,'lat','const'
-49.768232,-17.056992,1
-57.816304,-21.606489,1
-49.983056,-9.404722,1
-54.94,-19.801667,1
-57.510619,-19.022219,1
-55.498411,-20.455139,1
-49.590833,-16.15636,1
-57.8163,-21.6065,1
-57.5106,-19.0222,1
-54.94,-19.8016,1
-55.4984,-20.4551,1
-56.531,-15.814,1
-54.961,-15.348,1
-53.468,-17.444,1
-57.7748,-18.9743,1
-58.0355,-20.0663,1
-49.42609,-17.0498,1
-49.91667,-16.8,1
-49.53787,-16.85682,1
-49.77288,-16.02587,1
-50.86726,-15.86632,1
-50.21418,-16.12527,1
-48.95888,-15.85115,1
-49.56874,-17.55826,1
-49.1424,-13.43303,1
-49.97772,-14.12458,1
-51.04333,-14.83278,1
-47,-11.32544,1
-47.00722,-11.58944,1
-57.36667,-19.25,1
-50.72798,-19.27531,1
-53.468,-17.444,1
-55.498411,-20.455139,1
-54.961,-15.348,1
-54.94,-19.801667,1
-57.545487,-17.934066,1
-57.84236,-18.971208,1
-58.083653,-19.930779,1
-57.571,-19.1,1
-56.531,-15.841,1
