long,'lat','cuvi'
-48.48,-1.43,1
-48.4833,-1.45,1
-44.4147,-2.40889,1
-44.3028,-2.52972,1
-41.8214,-2.85833,1
-41.9031,-2.89,1
-41.7767,-2.90472,1
-43.40359879,-3.207779884,1
-43.40333333,-3.208055556,1
-43.91555556,-3.543333333,1
-39.610452,-3.662851,1
-40.9211,-3.85444,1
-41.70916667,-3.928333333,1
-38.629641,-3.957098,1
-43.9406,-4.25528,1
-38.934167,-4.266944,1
-43.35,-4.87,1
-47.5047,-4.94667,1
-47.49169922,-5.526390076,1
-36.6011,-5.66556,1
-35.35390091,-5.858329773,1
-35.76279831,-5.894999981,1
-47.3992,-6.33833,1
-47.4664,-6.5625,1
-45.84155,-6.607680556,1
-44.132093,-6.786381,1
-38.6963889,-6.9063889,1
-38.696389,-6.906389,1
-34.959369,-6.995291,1
-39.7333,-7.18333,1
-48.2072,-7.19111,1
-47.7569,-7.20472,1
-37.25419998,-7.222780228,1
-48.498705,-7.241106,1
-37.35139847,-7.266940117,1
-46.61719894,-7.361939907,1
-38.506893,-7.439921,1
-63.0208,-7.5061,1
-46.03559875,-7.53249979,1
-34.9064,-7.83417,1
-47.92580032,-7.860000134,1
-34.842721,-7.874064,1
-34.868547,-7.918704,1
-34.860331,-7.919091,1
-34.857665,-7.919192,1
-48.447097,-8.160428,1
-36.0309,-8.34727,1
-36.5656,-8.36056,1
-49.5564,-8.80361,1
-48.5103,-8.83417,1
-42.69940186,-9.01527977,1
-42.69916667,-9.015555556,1
-35.493333,-9.238889,1
-35.9433,-9.30667,1
-49.983056,-9.404722,1
-46.6731,-9.59417,1
-36.7396,-9.6701,1
-54.9605,-9.6808,1
-36.6611,-9.7525,1
-36.3508,-9.78194,1
-60.2631,-9.8603,1
-50.98501,-9.975991,1
-56.3661,-10.055,1
-48.137506,-10.291028,1
-48.29449,-10.297413,1
-48.150342,-10.311286,1
-40.3214,-10.5075,1
-48.41719818,-10.70810032,1
-48.416944,-10.708333,1
-48.41694444,-10.70833333,1
-40.3608,-10.7417,1
-49.62360001,-10.79360008,1
-41.85555556,-11.30444444,1
-55.0494,-11.4462,1
-46.995556,-11.544917,1
-46.8205986,-11.62779999,1
-49.0686,-11.7292,1
-49.52890015,-11.79669952,1
-38.4192009,-12.13560009,1
-44.9733,-12.3633,1
-57.995,-12.4251,1
-41.55888889,-12.52916667,1
-41.558889,-12.529167,1
-47.8830986,-12.61530018,1
-46.781078,-12.831183,1
-51.7667,-12.85,1
-52.082881,-12.857559,1
-54.7664,-12.9931,1
-41.3708,-13.0053,1
-41.7728,-13.1519,1
-43.4181,-13.255,1
-48.22000122,-13.53310013,1
-41.8114,-13.5789,1
-58.1022222,-13.6080556,1
-58.102222,-13.608056,1
-42.475,-14.0694,1
-39.734167,-14.138056,1
-48.0783,-14.1514,1
-47.787,-14.173833,1
-47.787333,-14.174333,1
-47.788167,-14.176167,1
-47.788833,-14.177528,1
-47.789,-14.177806,1
-47.789111,-14.178139,1
-47.78925,-14.178389,1
-47.789333,-14.178639,1
-47.789444,-14.178806,1
-47.789611,-14.179194,1
-47.789611,-14.179208,1
-47.790972,-14.1795,1
-47.789778,-14.1795,1
-47.789778,-14.179639,1
-47.790028,-14.180389,1
-47.789889,-14.180583,1
-47.79,-14.180806,1
-47.790194,-14.181111,1
-47.790194,-14.18125,1
-47.790472,-14.181306,1
-47.790611,-14.181472,1
-47.793361,-14.181528,1
-47.789778,-14.181889,1
-47.791861,-14.182,1
-47.790972,-14.182056,1
-47.791833,-14.182306,1
-47.791639,-14.182722,1
-67.33313,-14.296177,1
-42.9403,-14.5731,1
-62.616667,-14.666667,1
-47.5247,-14.7056,1
-47.788372,-14.788372,1
