long,'lat','dipt'
-64.9,-14.833333,1
-64.8667,-27.4833,1
-64.84977,-23.76146,1
-63.8047,-24.7386,1
-63.4339,-19.42411,1
-62.087222,-12.006111,1
-62,-16.36,1
-61.969722,-9.419722,1
-61.8506,-12.1281,1
-61.690975,-21.15576,1
-61.65,-21.2,1
-61.0953,-21.662,1
-60.8752,-12.7015,1
-60.035,-22.2889,1
-60.03,-22.35,1
-59.983,-15.1875,1
-59.95,-23.71667,1
-59.7424,-14.2943,1
-59.58,-20,1
-59.3667,-15.1819,1
-59.3525,-15.2588,1
-59.07,-23.36,1
-58.944167,-26.181389,1
-58.8619,-15.3173,1
-58.76667,-23.5,1
-58.58,-15.1,1
-58.4667,-15.85,1
-58.4572,-15.2558,1
-58.4395,-15.0853,1
-58.3104,-14.4346,1
-58.2963,-26.86771,1
-58.1782,-15.6261,1
-58.1192,-24.3836,1
-58.11560059,-15.2407999,1
-57.8369,-16.5165,1
-57.7517,-30.5217,1
-57.6918,-15.0433,1
-57.66,-22.3,1
-57.6533,-19.0092,1
-57.65,-25.35,1
-57.6,-25.47,1
-57.56156,-25.51109,1
-57.55469894,-30.2071991,1
-57.5,-25.3,1
-57.45,-19.6167,1
-57.373365,-25.302148,1
-57.36667,-22.68333,1
-57.360203,-25.317232,1
-57.35,-25.1,1
-57.2667,-27.4,1
-57.15,-22.3333,1
-57.15,-25.6333,1
-57.0882988,-29.75469971,1
-57.05,-26.02,1
-57.037544,-19.485006,1
-57.0284,-22.8592,1
-57,-19.567,1
-56.9485,-16.7845,1
-56.9333,-22.3833,1
-56.8,-17.3333,1
-56.7667,-25.1667,1
-56.7233,-18.731,1
-56.6944,-20.1319,1
-56.5281,-15.8315,1
-56.52,-22.21,1
-56.5167,-20.2,1
-56.5,-23.88,1
-56.4835,-21.1287,1
-56.48189926,-21.12109947,1
-56.476,-21.1275,1
-56.4401,-20.8135,1
-56.43,-22.2,1
-56.429,-21.436,1
-56.382,-21.102,1
-56.37,-26.45,1
-56.255,-15.5709,1
-56.244,-19.576,1
-56.1657,-13.0377,1
-56.1506,-19.5779,1
-56.0583,-22.6333,1
-56.046,-19.612,1
-56.0318,-16.8204,1
-56.00439835,-28.66060066,1
-55.9,-27.3333,1
-55.8894,-15.48,1
-55.84495,-22.6833,1
-55.75,-26.95,1
-55.725,-27.1839,1
-55.702499,-26.236944,1
-55.7,-26.2,1
-55.67,-26.76,1
-55.652,-26.405,1
-55.645,-26.398,1
-55.6333,-26.5833,1
-55.601387,-26.313888,1
-55.5396,-15.1071,1
-55.4364,-16.4825,1
-55.394167,-13.511111,1
-55.3941667,-13.5111111,1
-55.3167,-25.6167,1
-54.95461,-26.66415,1
-54.91419983,-30.25830078,1
-54.6794014,-29.69169998,1
-54.672778,-30.982778,1
-54.6727778,-30.9827778,1
-54.6725,-16.4892,1
-54.668,-16.5198,1
-54.66667,-25.08333,1
-54.6333,-16.4667,1
-54.5,-25.2333,1
-54.436,-17.646,1
-54.35,-24.05,1
