long,'lat','dip'
-65.986092,-10.906507,1
-57.021667,-19.575221,1
-57.510619,-19.022219,1
-54.590319,-20.495908,1
-54.641336,-20.506544,1
-54.589425,-20.394353,1
-54.552822,-20.478328,1
-54.559786,-20.454742,1
-54.615522,-20.510642,1
-54.598392,-20.467122,1
-53.856944,-19.02,1
-57.622222,-19.240833,1
-55.779722,-15.752778,1
-62,-16.36,1
-55.514167,-15.823056,1
-57.720833,-21.701944,1
-61.08,-14.91,1
-56.615556,-20.086667,1
-55.5396,-15.1071,1
-57.8369,-16.5165,1
-57.995,-12.4251,1
-58.4572,-15.2558,1
-56.7233,-18.731,1
-57.0217,-19.5752,1
-57.5106,-19.0222,1
-57.5564,-19.0184,1
