long,'lat','ele'
-67.923419,-14.430464,1
-67.920642,-14.430192,1
-67.5333,-14.4389,1
-66.083173,-11.024374,1
-64.54237,-24.625,1
-64.1,-23.2167,1
-62.616667,-14.666667,1
-62,-16.36,1
-61.850695,-23.89583,1
-61.777863,-24.307041,1
-61.701128,-23.973877,1
-61.08,-14.91,1
-60.7833,-17.85,1
-60.544671,-26.444525,1
-60.438786,-26.791176,1
-60.266114,-25.643502,1
-60.021057,-22.423724,1
-59.58,-20,1
-59.189906,-25.612654,1
-58.944167,-26.181389,1
-58.887335,-27.446252,1
-58.884601,-27.352589,1
-58.667953,-27.310499,1
-58.55141,-24.982389,1
-58.402769,-24.954649,1
-58.3104,-14.4346,1
-58.09099,-25.06883,1
-58.076944,-25.079167,1
-57.998156,-25.05345,1
-57.903983,-23.54225,1
-57.88249969,-21.69890022,1
-57.8533,-23.5166,1
-57.8369,-16.5165,1
-57.720915,-21.709952,1
-57.720833,-21.701944,1
-57.66,-22.3,1
-57.65330124,-19.00919914,1
-57.6533,-19.0092,1
-57.6532,-19.0012,1
-57.622222,-19.240833,1
-57.59,-22.76,1
-57.5,-25.3,1
-57.474722,-18.090556,1
-57.377133,-25.315633,1
-57.3667,-22.7167,1
-57.32,-26.4,1
-57.312667,-25.294467,1
-57.15,-22.3333,1
-57.15,-25.6333,1
-57.05,-26.02,1
-57.03,-26.79,1
-57.0284,-22.8592,1
-57.018906,-19.576734,1
-57,-19.567,1
-56.9485,-16.7845,1
-56.9333,-22.3833,1
-56.8221,-16.6856,1
-56.7667,-25.1667,1
-56.7233,-18.731,1
-56.6944,-20.1319,1
-56.6228,-16.2567,1
-56.615556,-20.086667,1
-56.547,-20.972,1
-56.5281,-15.8315,1
-56.516944,-20.981389,1
-56.5167,-20.2,1
-56.5125,-22.1417,1
-56.4835,-21.1287,1
-56.4819,-21.1211,1
-56.48189926,-21.12109947,1
-56.47669983,-9.664719582,1
-56.46,-25.23,1
-56.433,-21.299,1
-56.401,-25.2848,1
-56.3987,-25.2668,1
-56.09669876,-15.59609985,1
-56.0772,-14.1604,1
-55.8894,-15.48,1
-55.78720093,-20.47109985,1
-55.75,-26.95,1
-55.725,-27.1839,1
-55.5396,-15.1071,1
-55.498411,-20.455139,1
-55.29,-26.27,1
-54.96139908,-20.93190002,1
-54.876669,-20.759263,1
-54.82939911,-19.83169937,1
-54.754281,-20.5377,1
-54.751667,-20.538056,1
-54.75141,-20.538759,1
-54.655089,-20.467167,1
-54.615469,-20.414347,1
-54.403332,-25.878789,1
-54.3833,-24.7333,1
-54.34,-24.49,1
-53.415278,-15.341389,1
-53.4152778,-15.3413889,1
-48.75972222,-24.22,1
-48.759722,-24.22,1
-48.1082,-24.5269,1
-57.7209,-21.71,1
