long,'lat','furna'
-43.511052,-19.257071,1
-56.621944,-18.989078,1
-54.751667,-20.538056,1
-53.85526,-19.025,1
-54.753056,-20.538056,1
-54.75141,-20.538759,1
-55.9036,-31.1744,1
-53.856944,-19.02,1
-45.195556,-23.138333,1
-45.31,-23.22,1
-48.119722,-22.280278,1
-43.714167,-19.168889,1
-44.569722,-22.64,1
-55.749444,-15.460833,1
-46.388056,-20.863611,1
-46.561389,-21.788056,1
-46.615278,-21.126944,1
-46.365556,-20.245556,1
-43.65,-19,1
-43.350278,-21.764444,1
-48.439722,-22.88,1
-43.714167,-19.169167,1
-43.744722,-19.513611,1
-44.5833,-22.6333,1
-50.13333,-29.96667,1
-46.51667,-23.66667,1
-49.2667,-25.4833,1
-53.8,-29.68333,1
-44.75,-22.5667,1
-44.75,-22.56667,1
-46.3167,-23.7833,1
-49.272,-25.4297,1
-44.0797,-21.0575,1
-42.5397,-15.6097,1
-43.3089,-17.0647,1
-43.4161,-20.3778,1
-43.8578,-20.4997,1
-44.2669,-18.1092,1
-46.0094,-17.0097,1
-44.18,-17.8733,1
-48.9158,-14.9708,1
-43.3067,-18.4658,1
-42.8897,-16.5594,1
-43.3764,-19.2156,1
-43.2269,-19.6192,1
-43.425,-19.0372,1
-43.6003,-18.2494,1
-43.745,-19.5136,1
-43.6697,-19.88,1
-44.6425,-21.4875,1
-43.7144,-19.1689,1
-43.8014,-20.2533,1
-43.4872,-19.9458,1
-44.1997,-20.1433,1
-43.5081,-20.2875,1
-43.4075,-20.0747,1
-45.0694,-16.3686,1
-43.74472222,-19.51361111,1
-43.71416667,-19.16916667,1
-47.06000137,-22.89999962,1
-43.74499893,-19.5135994,1
-46.52999878,-23.65999985,1
-46.38805556,-20.86361111,1
-48.43972222,-22.88,1
-46.56138889,-21.78805556,1
-46.36555556,-20.24555556,1
-55.74944444,-15.46083333,1
-44.56972222,-22.64,1
-43.35027778,-21.76444444,1
-48.11972222,-22.28027778,1
-46.61527778,-21.12694444,1
-48.50999832,-22.12999916,1
-53.1292,-18.5439,1
-47.82,-22.25,1
-44.57,-22.64,1
-46.63,-23.54,1
-49.7058,-24.2511,1
-51.6783,-20.7511,1
-50.41,-22.66,1
-42.475,-14.0694,1
-46.4361,-12.4039,1
-46.5614,-21.7878,1
-47.56,-22.41,1
-49.2526,-20.3792,1
-49.1982,-20.3578,1
-49.2388,-20.3641,1
-44.5772,-22.6454,1
-49.2683,-20.9028,1
-46.0575,-20.6155,1
-48.4448,-22.8859,1
-48.1276,-22.7844,1
-55.8894,-15.48,1
-55.5396,-15.1071,1
-47.6946,-22.1179,1
-50.2764,-20.4847,1
-44.6125,-22.7581,1
-47.8863,-18.8031,1
-49.6954,-22.4053,1
-48.4467,-22.2697,1
-48.4322,-22.8562,1
-49.5434,-21.0767,1
-49.2364,-20.3627,1
-54.64640045,-20.44280052,1
-53.70610046,-18.32419968,1
-46.63000107,-23.54000092,1
-37.69029999,-8.540559769,1
-55.74969864,-15.4605999,1
-45.66139984,-20.37059975,1
-42.36640167,-21.13059998,1
-43.71440125,-19.16889954,1
-44.56999969,-22.63999939,1
-50.4136,-24.5094,1
-53.8591,-19.0142,1
