long,'lat','fuscoma'
-59.808927,-33.597999,1
-58.100848,-31.418365,1
-60.890696,-31.120272,1
-57.432395,-28.654743,1
-57.183151,-28.541549,1
-57.186743,-28.538041,1
-57.172717,-28.53494,1
-57.177817,-28.531755,1
-57.540624,-27.988587,1
-48.61138889,-27.09055556,1
-57.03,-26.79,1
-57.140785,-26.670718,1
-57.32,-26.4,1
-48.55,-25.85,1
-57.15,-25.6333,1
-48.5,-25.5167,1
-55.3833,-25.4167,1
-55.77,-25.37,1
-56.7667,-25.1667,1
-57.35,-25.1,1
-47.4597,-24.2814,1
-48.759722,-24.22,1
-48.75972222,-24.22,1
-48.76,-24.22,1
-47.5,-23.96,1
-56.13689,-23.9,1
-46.4187,-23.8864,1
-56.5,-23.88,1
-50.4048,-23.85,1
-47.71,-23.81,1
-47.70999908,-23.80999947,1
-47.22,-23.65,1
-48.05,-23.59,1
-46.63,-23.54027778,1
-45.06972222,-23.43027778,1
-48.35,-23.4,1
-47.29,-23.26,1
-55.9464,-23.2239,1
-49.7933,-23.1077,1
-50.7511,-23.08,1
-57.03,-23.07,1
-43.5935,-23.0382,1
-43.4833,-23.0333,1
-45.5613,-23.0311,1
-44.3,-23,1
-43.4333,-23,1
-49.86999893,-22.96999931,1
-53.657092,-22.921766,1
-43.35,-22.9167,1
-43.2333,-22.9,1
-47.06,-22.9,1
-47.06000137,-22.89999962,1
-48.4448,-22.8859,1
-57.01111,-22.86636,1
-45.41984,-22.86136,1
-57.0284,-22.8592,1
-49.92,-22.83,1
-49.236667,-22.814167,1
-48.1276,-22.7844,1
-48.566789,-22.775037,1
-47.15,-22.76027778,1
-47.15000153,-22.76000023,1
-43.7092,-22.7296,1
-46.97972222,-22.70027778,1
-43.1667,-22.6667,1
-50.41,-22.66,1
-56.0583,-22.6333,1
-52.1716,-22.6214,1
-52.1689,-22.6169,1
-48.79999924,-22.59000015,1
-52.16,-22.53,1
-47.56,-22.41,1
-49.6954,-22.4053,1
-49.6944,-22.4025,1
-49.675,-22.3879,1
-46.94194444,-22.37222222,1
-48.1261,-22.2841,1
-48.12,-22.28,1
-47.819722,-22.25,1
-47.81999969,-22.25,1
-47.81972222,-22.25,1
-47.82,-22.25,1
-56.5125,-22.1417,1
-47.42,-21.99,1
-54.5423,-21.8025,1
-48.16999817,-21.79000092,1
-48.09999847,-21.71999931,1
-57.720833,-21.701944,1
-57.8821,-21.6986,1
-57.737,-21.6304,1
-47.7,-21.6,1
-50.64,-21.26,1
-49.946,-21.2293,1
-50.4003,-21.2204,1
-55.83000183,-21.13529968,1
-44.1781,-21.1103,1
-49.2412,-21.0805,1
-49.5434,-21.0767,1
-49.9738,-21.0152,1
-51.47999954,-20.87000084,1
-49.3796,-20.8108,1
-51.6783,-20.7511,1
-49.9291,-20.7427,1
-54.75141,-20.538759,1
-54.751667,-20.538056,1
-54.753056,-20.538056,1
-54.754281,-20.5377,1
-54.754722,-20.5375,1
-54.615333,-20.503778,1
-49.7799,-20.4819,1
-49.77,-20.48,1
-55.78720093,-20.47109985,1
-53.75916667,-20.44333333,1
-53.759167,-20.443333,1
-54.64640045,-20.44280052,1
-49.4344,-20.3916,1
-49.4343,-20.3915,1
-54.611187,-20.385462,1
-43.4161,-20.3778,1
-49.1933,-20.3633,1
-50.1732,-20.3594,1
-49.1979,-20.3412,1
-49.1975,-20.303,1
-49.7036,-20.1834,1
-51.0022,-20.1794,1
-56.6944,-20.1319,1
-49.915,-20.0796,1
-44.5764,-20.0753,1
-43.4075,-20.0747,1
-44.19829941,-19.96780014,1
-44.1983,-19.9678,1
-43.4153,-19.9594,1
-40.600278,-19.936389,1
-43.9333,-19.9167,1
-54.82939911,-19.83169937,1
-42.3161,-19.8289,1
-43.68,-19.82,1
-43.9233017,-19.69190025,1
-54.560833,-19.636667,1
-43.8897,-19.6272,1
-43.89,-19.6269444,1
-43.89,-19.626944,1
-43.2269,-19.6192,1
-56.1506,-19.5779,1
-57.0192,-19.5769,1
-56.153058,-19.572096,1
-56.224,-19.555,1
-54.04389954,-19.53140068,1
-43.745,-19.5136,1
-57.009,-19.5046,1
-45.6017,-19.4633,1
-42.21780014,-19.43670082,1
-56.566944,-19.418056,1
-56.908,-19.207,1
-43.7144,-19.1689,1
-43.425,-19.0372,1
-57.6533,-19.0092,1
-57.65330124,-19.00919914,1
-54.84420013,-18.91810036,1
-44.4308,-18.7564,1
-56.7233,-18.731,1
-51.96220016,-18.30610085,1
-45.2417,-18.2064,1
-53.417671,-18.158788,1
-51.7734,-17.9385,1
-46.513889,-17.835,1
-46.5138889,-17.835,1
-50.9204,-17.7895,1
-44.1722,-17.7575,1
-39.2658,-17.7319,1
-52.55110168,-17.56940079,1
-63.289983,-17.5172,1
-63.67975,-17.464367,1
-44.9419,-17.345,1
-58.53605,-17.0397,1
-46.0094,-17.0097,1
-49.5318985,-16.83060074,1
-56.0318,-16.8204,1
-42.8622,-16.8003,1
-56.9485,-16.7845,1
-45.4139,-16.69,1
-48.6081,-16.6589,1
-48.60810089,-16.65889931,1
-57.8369,-16.5165,1
-60.9334,-16.381283,1
-62.00225,-16.3622,1
-62,-16.36,1
-56.6228,-16.2567,1
-62.022333,-16.164533,1
-62.11395,-16.16035,1
-57.67890167,-16.07060051,1
-49.81029892,-16.02029991,1
-51.3967,-16.0078,1
-48.959167,-15.8525,1
-48.95916667,-15.8525,1
-56.5281,-15.8315,1
-54.9178,-15.8106,1
-47.75,-15.75,1
-44.3617,-15.4881,1
-55.8894,-15.48,1
-55.74944444,-15.46083333,1
-55.749444,-15.460833,1
-55.7497,-15.4606,1
-55.84,-15.45,1
-61.015967,-15.174567,1
-55.5396,-15.1071,1
-54.2193,-15.0984,1
-58.4395,-15.0853,1
-57.180833,-15.072778,1
-57.18083333,-15.07277778,1
-57.18109894,-15.07250023,1
-61.07255,-14.910783,1
-61.08,-14.91,1
-42.4333,-14.8497,1
-61.17,-14.82,1
-61.175017,-14.810233,1
-47.5247,-14.7056,1
-66,-14.5,1
-58.3104,-14.4346,1
-42.475,-14.0694,1
-58.132222,-13.635278,1
-58.1322222,-13.6352778,1
-58.126667,-13.632778,1
-58.1266667,-13.6327778,1
-44.4328,-13.6194,1
-58.102222,-13.608056,1
-58.1022222,-13.6080556,1
-56.0434,-13.2931,1
-41.3314,-12.8072,1
-65.808517,-12.77225,1
-65.81525,-12.768367,1
-47.8830986,-12.61530018,1
-57.995,-12.4251,1
-64.238611,-12.377778,1
-44.9733,-12.3633,1
-49.52890015,-11.79669952,1
-49.0685997,-11.72920036,1
-66.083398,-11.025559,1
-48.41719818,-10.70810032,1
-48.4172,-10.7081,1
-56.9466,-10.3911,1
-56.9804,-10.3364,1
-56.98,-10.336,1
-56.3661,-10.055,1
-51.021443,-10.002129,1
-56.0861,-9.87556,1
-60.2631,-9.8603,1
-46.6731,-9.59417,1
-49.983056,-9.404722,1
-35.4933,-9.23833,1
-35.48,-9.23,1
-49.5564,-8.80361,1
-64,-8.76667,1
-63.9,-8.76667,1
-63.90390015,-8.761940002,1
-48.475,-8.05917,1
-47.92580032,-7.860000134,1
-46.0356,-7.5325,1
-63.0298,-7.5169,1
-47.4694,-7.33278,1
-47.7569,-7.20472,1
-48.2072,-7.19111,1
-45.87888889,-6.630444444,1
-47.4664,-6.5625,1
-43.9406,-4.25528,1
-41.7092,-3.92806,1
-41.0922,-3.56222,1
-52.20638889,-3.203333333,1
-52.206389,-3.203333,1
-52.20640182,-3.20333004,1
-66.589731,6.42375,1
-66.58973056,6.42375,1
-54.7548,-20.5377,1
-56.1548,-19.5724,1
-53.6571,-22.9218,1
-53.7471,-22.9008,1
-53.6439,-22.889,1
