long,'lat','fuscov'
-51.354863,-10.758533,1
-51.629624,-10.86493,1
-51.627282,-10.873797,1
-65.968223,-10.878656,1
-48.814389,-11.473333,1
-49.52890015,-11.79669952,1
-48.9708,-11.9933,1
-49.1742,-12.1308,1
-65.81,-12.77,1
-41.331667,-12.807778,1
-46.781078,-12.831183,1
-54.7664,-12.9931,1
-46.768534,-13.035354,1
-56.1657,-13.0377,1
-46.756389,-13.038056,1
-43.4181,-13.255,1
-40.45,-13.4333,1
-49.1486,-13.4408,1
-40.43080139,-13.44110012,1
-48.22000122,-13.53310013,1
-46.354111,-13.727111,1
-42.618056,-14.059167,1
-47.627736,-14.207013,1
-47.038722,-14.457325,1
-48.45970154,-14.47389984,1
-47.5247,-14.7056,1
-39.0494,-14.7889,1
-61.08,-14.91,1
-48.9158,-14.9708,1
-57.6918,-15.0433,1
-58.4395,-15.0853,1
-54.2193,-15.0984,1
-55.5396,-15.1071,1
-59.983,-15.1875,1
-53.3952778,-15.3447222,1
-55.78,-15.42,1
-47.608917,-15.453447,1
-55.7497,-15.4606,1
-55.8894,-15.48,1
-44.3667,-15.4833,1
-58.1782,-15.6261,1
-47.851389,-15.698056,1
-47.854571,-15.703813,1
-47.8698,-15.7636,1
-48.136576,-15.776735,1
-48.822212,-15.777237,1
-48.130055,-15.831473,1
-47.766763,-15.840355,1
-48.230031,-15.849406,1
-58.4667,-15.85,1
-48.014119,-15.864679,1
-50.14027778,-15.93444444,1
-47.888717,-15.945327,1
-47.878464,-15.948213,1
-47.93057,-15.96173,1
-47.927651,-15.967764,1
-55.375556,-15.982222,1
-51.3967,-16.0078,1
-57.67890167,-16.07060051,1
-40.293333,-16.145,1
-52.545,-16.1961,1
-49.1933,-16.2203,1
-62,-16.36,1
-45.0694,-16.3686,1
-57.8369,-16.5165,1
-49.151295,-16.545989,1
-42.8897,-16.5594,1
-49.228519,-16.645748,1
-56.872021,-16.756259,1
-49.6944,-16.7622,1
-46.0094,-17.0097,1
-49.816618,-17.029528,1
-50.1461,-17.0486,1
-49.771632,-17.06376,1
-46.4667,-17.2833,1
-39.2208,-17.3411,1
-44.9333,-17.35,1
-44.9622,-17.3511,1
