long,'lat','fuscus'
-61.409949,10.520129,1
-54.596471,-20.465824,1
-47.309207,-1.19575,1
-72.373977,4.918435,1
-58.166546,-25.990905,1
-75.05286,9.164066,1
-73.740621,7.066042,1
-73.740361,7.066572,1
-47.796881,-21.014225,1
-46.603549,-12.997708,1
-55.210943,5.491843,1
-56.053643,-9.884977,1
-75.131988,9.827127,1
-60.743429,2.815904,1
-48.204686,-15.717895,1
-48.132621,-15.772471,1
-48.240445,-23.862905,1
-61.39686,10.53312,1
-59.596997,-26.810796,1
-63.95486,-25.115553,1
-49.676462,-3.835492,1
-72.478028,7.155978,1
-75.574378,9.495859,1
-73.580095,6.693733,1
-41.121586,-18.861903,1
-45.666721,-20.35478,1
-73.169777,4.851766,1
-60.099169,-3.048557,1
-74.663732,6.052628,1
-73.155916,6.580993,1
-74.00683,11.28547,1
-74.006523,11.285,1
-74.02399,11.28272,1
-74.022101,11.280203,1
-74.024987,11.278811,1
-74.00643,11.28497,1
-75.393002,10.051346,1
-75.078138,9.494649,1
-75.456749,9.424021,1
-75.38399,10.07488,1
-72.337837,5.556643,1
-75.120892,9.973754,1
-75.118975,9.973987,1
-73.584334,4.073294,1
-72.651993,5.024184,1
-66.09848,-13.762331,1
-73.190972,4.8185,1
-45.66666,-20.35487,1
-75.12456,9.959581,1
-75.124493,9.962976,1
-40.023006,-19.033389,1
-74.006344,11.284957,1
-74.006752,11.284991,1
-74.026046,11.28209,1
-74.025466,11.281385,1
-75.148872,5.88775,1
-75.146765,5.885606,1
-72.38424,5.51772,1
-72.38248,5.51954,1
-55.921565,-9.555626,1
-47.040358,-23.089503,1
-72.668444,11.05075,1
-72.69025,11.102194,1
-72.531944,11.160472,1
-72.737611,11.046278,1
-59.618393,-26.79322,1
-75.17001,6.61011,1
-46.872307,-17.217455,1
-48.410159,-23.489752,1
-72.37417,4.91836,1
-56.042061,-28.547831,1
-73.6203,4.113161,1
-60.748231,11.220014,1
-36.7396,-9.6701,1
-49.769454,-17.06954,1
-53.975704,-25.85756,1
-41.760528,-20.586444,1
-75.095331,8.555725,1
-40.737811,-19.688961,1
-54.751667,-20.538056,1
-45.596256,-20.470528,1
-40.721444,-19.685233,1
-75.026804,9.191539,1
-40.646389,-18.257778,1
-73.420278,4.507972,1
-73.440306,4.517,1
-57.720915,-21.709952,1
-55.203694,5.464652,1
-60.089556,-3.048214,1
-72.229968,5.583548,1
-72.22892,5.587486,1
-63.251497,-23.937955,1
-73.369248,7.23251,1
-74.790945,6.726624,1
-73.585731,4.067467,1
-61.380814,10.414003,1
-72.249559,5.582256,1
-72.325516,5.553555,1
-72.25148,5.587735,1
-72.325166,5.553593,1
-72.307264,5.579013,1
-75.666467,8.309419,1
-75.671654,8.313592,1
-75.645055,8.305016,1
-75.649399,8.302928,1
-75.667009,8.321792,1
-75.660253,8.315438,1
-75.630161,8.295911,1
-75.647853,8.300509,1
-75.652881,8.301795,1
-75.648234,8.274465,1
-75.638533,8.285881,1
-75.638414,8.287334,1
-75.63805,8.285387,1
-75.645468,8.2717,1
-75.620485,8.322129,1
-75.619862,8.322429,1
-75.635834,8.326238,1
-75.637629,8.324237,1
-75.628091,8.325718,1
-75.637965,8.326347,1
-75.625075,8.328424,1
-75.626164,8.327079,1
-75.627337,8.326674,1
-75.667417,8.309197,1
-73.584985,4.072393,1
-68.507779,5.684279,1
-69.754797,6.057016,1
-69.754793,6.057937,1
-68.521677,5.620178,1
-68.522035,5.618697,1
-70.998526,5.053628,1
-68.521841,5.619496,1
-68.513925,5.613471,1
-68.523301,5.613675,1
-68.524456,5.61319,1
-68.522627,5.616385,1
-68.523243,5.613994,1
-68.522348,5.617451,1
-68.512698,5.614185,1
-68.524988,5.629702,1
-68.512379,5.616167,1
-68.512391,5.616219,1
-68.548135,5.63962,1
-73.883389,2.294194,1
-73.902194,2.317083,1
-73.894467,2.310033,1
-73.893853,2.309183,1
-73.876389,2.290028,1
-74.130833,6.444028,1
-74.114583,6.435472,1
-72.545019,3.470509,1
-72.542496,3.466204,1
-72.542765,3.466055,1
-72.54344,3.469169,1
-72.546215,3.453993,1
-72.542058,3.466512,1
-72.545183,3.470339,1
-72.545664,3.469969,1
-72.542492,3.466179,1
-72.547272,3.454912,1
-72.546981,3.45471,1
-72.545997,3.470389,1
-71.665269,4.828271,1
-72.548976,3.465772,1
-72.538395,3.462367,1
-71.644969,4.831213,1
-71.663007,4.826856,1
-71.653343,4.828932,1
-71.665154,4.828089,1
-71.651735,4.829606,1
-71.647457,4.834753,1
-71.649231,4.832145,1
-71.662936,4.832918,1
-71.663658,4.827778,1
-71.664258,4.833913,1
-71.644878,4.83138,1
-71.672868,4.834884,1
-71.663455,4.833348,1
-71.63894,4.825545,1
-71.662194,4.832323,1
-71.65264,4.825702,1
-71.672228,4.833742,1
-71.643834,4.824363,1
-74.2215,6.700209,1
-74.090975,6.421423,1
-73.914583,2.218611,1
-73.922417,2.220361,1
-73.92025,2.220308,1
-73.504108,7.458929,1
-72.48556,5.46365,1
-72.48599,5.46404,1
-53.3895,-18.190667,1
-34.928241,-7.224547,1
-72.49791,5.40349,1
-72.47681,5.44486,1
-72.49752,5.40338,1
-46.781078,-12.831183,1
-53.657092,-22.921766,1
-48.153281,-10.318275,1
-41.789556,-20.614556,1
-40.831661,-19.457875,1
-75.404333,9.218444,1
-55.636853,-29.509311,1
-61.223838,10.614382,1
-65.75996,-11.156748,1
-59.585036,-18.337421,1
-61.0276,2.152167,1
-49.983056,-9.404722,1
-64.76814,-3.45432,1
-59.309885,3.752782,1
-48.189806,-7.104725,1
-68.468278,5.551556,1
-68.464083,5.558361,1
-70.198283,6.7121,1
-70.209367,6.734083,1
-70.49605,6.647267,1
-56.619111,-18.988056,1
-73.568853,7.598452,1
-72.318192,5.217802,1
-41.65655,-22.262706,1
-68.468433,5.55195,1
-68.464528,5.569222,1
-68.464097,5.558397,1
-68.468111,5.57275,1
-68.466028,5.573444,1
-74.54586,5.76401,1
