long,'lat','jimi'
-48.476606,-22.680331,1
-49.750749,-17.11627,1
-54.751667,-20.538056,1
-49.251152,-22.889617,1
-53.657092,-22.921766,1
-54.754281,-20.5377,1
-54.754722,-20.5375,1
-54.753056,-20.538056,1
-54.75141,-20.538759,1
-48.327608,-18.936319,1
-48.621786,-18.662361,1
-54.588611,-19.2825,1
-53.856944,-19.02,1
-48.35,-23.4,1
-48.276944,-18.918611,1
-48.439722,-22.88,1
-46.0094,-17.0097,1
-46.3658,-20.2453,1
-48.27694444,-18.91861111,1
-48.43972222,-22.88,1
-47.40999985,-22.75,1
-47.81999969,-22.25,1
-53.3431015,-22.23329926,1
-48.6081,-16.6589,1
-48.8344,-25.4769,1
-51.6783,-20.7511,1
-47.82,-22.25,1
-48.12,-22.28,1
-48.981944,-22.836944,1
-49.25,-22.9167,1
-48.0196,-19.3139,1
-47.8863,-18.8031,1
-56.13809967,-21.4803009,1
-49.23889923,-22.88059998,1
-54.7548,-20.5377,1
-53.6439,-22.889,1
