long,'lat','laby'
-62.061944,-11.2625,1
-61.656034,-8.474645,1
-61.65286,-8.49579,1
-59.983,-15.1875,1
-59.4545,-14.2076,1
-59.4542,-14.2059,1
-59.4517,-13.971,1
-59.3525,-15.2588,1
-59.0268,-14.9798,1
-58.8619,-15.3173,1
-58.58,-15.1,1
-58.4572,-15.2558,1
-58.4395,-15.0853,1
-58.3104,-14.4346,1
-57.995,-12.4251,1
-57.8369,-16.5165,1
-57.6918,-15.0433,1
-57.65330124,-19.00919914,1
-57.6533,-19.0092,1
-57.63333,-19.15,1
-57.6333,-19.15,1
-57.625833,-19.205,1
-57.6248,-11.0586,1
-57.622222,-19.240833,1
-57.59,-22.76,1
-57.05,-26.02,1
-56.8171,-14.0943,1
-56.7233,-18.731,1
-56.573217,-21.102938,1
-56.5281,-15.8315,1
-56.521065,-20.968508,1
-56.516179,-20.982435,1
-56.4835,-21.1287,1
-56.48189926,-21.12109947,1
-56.44,-21.163,1
-56.255,-15.5709,1
-56.1657,-13.0377,1
-56.0654,-15.6073,1
-56.0583,-22.6333,1
-56.0502,-15.6002,1
-56.0501,-15.6001,1
-56.05,-15.6,1
-55.9402,-13.0556,1
-55.8894,-15.48,1
-55.80690002,-20.48360062,1
-55.78,-15.42,1
-55.7497,-15.4606,1
-55.56007,-20.452287,1
-55.5396,-15.1071,1
-55.514167,-15.823056,1
-55.5141667,-15.8230556,1
-55.4364,-16.4825,1
-54.986419,-19.46535,1
-54.985,-19.412,1
-54.95461,-26.66415,1
-54.931111,-19.790833,1
-54.86564,-20.43773,1
-54.82939911,-19.83169937,1
-54.777222,-19.0875,1
-54.7664,-12.9931,1
-54.754281,-20.5377,1
-54.7381,-28.1486,1
-54.711918,-18.50351,1
-54.64640045,-20.44280052,1
-54.606,-17.3359,1
-54.600714,-20.467375,1
-54.577194,-20.429447,1
-54.436,-17.646,1
-54.148056,-16.873333,1
-53.70610046,-18.32419968,1
-53.424295,-18.108912,1
-53.415278,-15.341389,1
-53.4152778,-15.3413889,1
-53.3895,-18.190667,1
-52.6646,-27.1449,1
-51.908111,-19.565889,1
-51.823939,-16.426252,1
-51.8239388,-16.4262523,1
-51.82220078,-16.42690086,1
-51.5537,-22.0068,1
-51.5334,-21.4837,1
-51.4357,-21.5139,1
-51.3967,-16.0078,1
-51.3882,-22.123,1
-51.24722222,-23.45222222,1
-51.1628,-23.3103,1
-50.8923,-20.1782,1
-50.485,-20.1972,1
-50.4517,-18.4483,1
-50.4483,-21.5591,1
-50.4338,-20.0036,1
-50.4167,-22.6667,1
-50.41,-22.66,1
-50.39,-22.59,1
-50.239917,-24.578778,1
-50.15,-25.0833,1
-50.000349,-9.418422,1
-49.983056,-9.404722,1
-49.9722,-20.4252,1
-49.9648,-20.8071,1
-49.817,-22.4151,1
-49.770648,-17.059516,1
-49.767435,-17.068434,1
-49.75,-23.1166,1
-49.5434,-21.0767,1
-49.528889,-11.796944,1
-49.52888889,-11.79694444,1
-49.439,-20.8765,1
-49.4343,-20.3915,1
-49.3872,-20.6567,1
-49.3796,-20.8108,1
-49.3794,-20.8197,1
-49.2667,-23.1833,1
-49.2526,-20.3792,1
-49.2388,-20.3641,1
-49.2153,-18.4192,1
-49.1982,-20.3578,1
-49.1979,-20.3412,1
-49.1977,-20.3411,1
-49.1933,-20.3633,1
-49.117778,-5.368611,1
-49.11777778,-5.368611111,1
-49.06,-22.31,1
-48.97,-11.81,1
-48.9158,-14.9708,1
-48.752,-20.6375,1
-48.632164,-17.735616,1
-48.590707,-22.740218,1
-48.590133,-22.723402,1
-48.5306,-22.3027,1
-48.5103,-8.83417,1
-48.4467,-22.2697,1
-48.41,-23.49,1
-48.29449,-10.297413,1
-48.22000122,-13.53310013,1
-48.2071991,-7.191110134,1
-48.11972222,-22.28027778,1
-48.119722,-22.280278,1
-48.081726,-15.765847,1
-47.9464,-18.1658,1
-47.93345,-15.970377,1
-47.933313,-15.970233,1
-47.82,-22.25,1
-47.81999969,-22.25,1
-47.800484,-15.875963,1
-47.8,-21.1667,1
-47.7972,-21.6031,1
-47.7597,-6.71306,1
-47.750249,-19.751854,1
-47.749947,-19.7517,1
-47.7,-21.6,1
-47.6747,-19.1525,1
-47.673977,-22.299559,1
-47.6398,-21.6498,1
-47.61000061,-21.89999962,1
-47.56,-22.41,1
-47.5247,-14.7056,1
-47.47,-21.71,1
-47.47,-20.25,1
