long,'lat','latrans'
-59.14736,-37.262158,1
-64.012859,-36.505324,1
-62.477501,-35.898335,1
-63.023213,-35.703575,1
-63.023893,-35.702563,1
-63.788067,-35.636305,1
-63.78813,-35.636286,1
-59.618198,-35.634104,1
-59.793805,-35.612491,1
-59.793977,-35.612421,1
-57.996254,-35.611546,1
-58.933686,-35.328853,1
-57.394803,-35.136901,1
-58.120475,-35.055229,1
-58.119857,-35.054897,1
-58.120919,-35.054465,1
-63.04422,-35.04807,1
-63.043533,-35.047789,1
-62.999073,-35.0118,1
-62.9977,-35.010936,1
-62.997697,-35.010804,1
-62.99907,-35.010804,1
-63.000103,-35.010746,1
-62.999414,-35.010522,1
-62.99873,-35.009902,1
-58.127204,-34.984173,1
-58.282805,-34.892532,1
-58.282704,-34.892489,1
-58.282692,-34.892488,1
-55.219322,-34.889745,1
-62.991863,-34.873407,1
-57.828133,-34.869522,1
-58.414288,-34.859147,1
-55.439522,-34.790523,1
-59.031525,-34.790056,1
-54.893895,-34.787095,1
-54.893778,-34.784417,1
-55.726933,-34.768777,1
-58.539896,-34.742078,1
-58.53894,-34.741132,1
-58.536493,-34.740079,1
-58.534131,-34.737864,1
-58.541891,-34.737726,1
-58.53894,-34.736994,1
-58.514943,-34.734171,1
-58.509507,-34.731903,1
-55.504345,-34.731525,1
-58.442376,-34.681077,1
-58.466112,-34.664179,1
-58.314558,-34.663339,1
-58.354521,-34.616228,1
-58.354583,-34.616178,1
-58.350922,-34.608106,1
-58.350964,-34.608063,1
-58.482336,-34.595263,1
-58.482055,-34.5951,1
-58.481994,-34.59506,1
-58.480987,-34.594658,1
-58.478626,-34.594206,1
-55.465081,-34.592163,1
-58.443664,-34.538547,1
-59.076194,-34.491335,1
-58.839265,-34.474587,1
-58.496215,-34.470031,1
-58.495484,-34.468708,1
-53.867467,-34.425031,1
-53.867436,-34.424864,1
-53.868169,-34.424491,1
-53.868485,-34.424231,1
-53.868408,-34.424072,1
-53.868432,-34.42403,1
-53.868084,-34.423768,1
-53.867909,-34.423742,1
-53.867709,-34.42369,1
-58.916287,-34.412999,1
-58.915912,-34.412654,1
-55.315833,-34.409722,1
-58.752859,-34.358467,1
-58.784943,-34.340252,1
-59.004663,-34.338677,1
-59.00111,-34.337502,1
-59.001492,-34.337498,1
-59.001389,-34.337223,1
-58.828178,-34.328767,1
-58.828146,-34.328766,1
-58.828342,-34.328757,1
-58.78143,-34.308588,1
-54.621164,-34.276156,1
-62.715557,-34.272221,1
-58.65467,-34.241649,1
-58.883049,-34.235683,1
-58.746425,-34.160575,1
-53.70137,-34.151181,1
-53.701367,-34.151178,1
-53.585696,-34.004417,1
-53.511733,-33.901077,1
-59.508011,-33.81681,1
-59.175598,-33.742048,1
-58.658338,-33.714637,1
-58.739921,-33.498153,1
-58.784012,-33.487242,1
-56.521316,-33.345378,1
-68.699527,-33.278266,1
-61.14748,-33.058592,1
-58.4547,-33.040702,1
-58.456998,-33.038678,1
-54.6552,-33.01096,1
-58.511167,-33.007778,1
-60.622514,-33.006312,1
-58.499757,-32.97885,1
-54.443889,-32.911389,1
-58.764609,-32.902264,1
-58.08,-32.799167,1
-53.388889,-32.590556,1
-58.037922,-32.529125,1
-58.037894,-32.529087,1
-55.76583611,-32.52277778,1
-58.052345,-32.465221,1
-58.513535,-32.424958,1
-53.75855,-32.14045,1
-60.172483,-32.075576,1
-60.172766,-32.075183,1
-52.09859848,-32.03499985,1
-54.127505,-31.937742,1
-54.154528,-31.894556,1
-54.163028,-31.888944,1
-52.8105556,-31.8797222,1
-58.256344,-31.865708,1
-58.266246,-31.863764,1
-60.847435,-31.835055,1
-52.3594444,-31.7761111,1
-52.3427778,-31.7719444,1
-52.34643,-31.744293,1
-60.83929,-31.738947,1
-60.842731,-31.738373,1
-60.843677,-31.738312,1
-60.844981,-31.738035,1
-60.862671,-31.735067,1
-60.871963,-31.733761,1
-60.849428,-31.705422,1
-60.765585,-31.668792,1
-60.761634,-31.662219,1
-60.757546,-31.655809,1
-60.901177,-31.649095,1
-60.591096,-31.608007,1
-53.7166667,-31.6,1
-53.7325,-31.5986111,1
-53.7283333,-31.5977222,1
-53.7251667,-31.5965278,1
-53.7244722,-31.5956944,1
-53.71425,-31.5871389,1
-53.6980278,-31.5857778,1
-61.395035,-31.570199,1
-53.6901389,-31.5637222,1
-53.67250061,-31.55809975,1
-53.6999722,-31.5525556,1
-53.7003056,-31.5521389,1
-53.6989444,-31.5521389,1
-53.6990556,-31.5519722,1
-53.7001667,-31.5518889,1
-53.7,-31.5518889,1
-53.7366111,-31.5516667,1
-53.7473333,-31.5510278,1
-53.74725,-31.5508889,1
-53.7375,-31.5506389,1
-53.7553889,-31.5491667,1
-53.7554444,-31.5491389,1
-53.7560278,-31.5490556,1
-53.7549167,-31.5489444,1
-61.013985,-31.49295,1
-58.107262,-31.458913,1
-53.6852778,-31.4525,1
-53.6903056,-31.4403056,1
-58.100848,-31.418365,1
-51.0166667,-31.4166667,1
-61.175659,-31.394637,1
-60.91781,-31.38434,1
-58.117955,-31.370201,1
-51.9788889,-31.3627778,1
-64.462682,-31.327702,1
-51.054067,-31.303442,1
-69.443069,-31.213608,1
-50.9477778,-31.1083333,1
-50.947778,-31.108333,1
-50.92110062,-31.10689926,1
-50.943611,-31.078889,1
-50.9436111,-31.0788889,1
-50.9711111,-31.0463889,1
-54.67309952,-30.98279953,1
-51.49779892,-30.91500092,1
-55.53279877,-30.89080048,1
-55.7629667,-30.7689,1
-51.65,-30.7544444,1
-55.3120005,-30.7194844,1
-67.492955,-30.710235,1
-67.496211,-30.700318,1
-67.50036,-30.69786,1
-67.500703,-30.697565,1
-51.5636111,-30.5916667,1
-53.49140167,-30.5121994,1
-50.2547222,-30.3072222,1
-50.3089167,-30.2741667,1
-50.50970078,-30.25779915,1
-50.23279953,-30.24749947,1
-54.98948,-30.2382,1
-51.0944319,-30.2212095,1
-50.2158333,-30.2025,1
-57.643887,-30.197267,1
-61.174662,-30.186775,1
-61.186037,-30.186615,1
-55.25403,-30.1231,1
-51.32500076,-30.11389923,1
-51.6724264,-30.0922433,1
-51.672426,-30.092243,1
-51.02330017,-30.08110046,1
-51.72919846,-30.07719994,1
-55.28523,-30.07667,1
-51.22999954,-30.03310013,1
-50.13359833,-29.98469925,1
-51.72219849,-29.95919991,1
-51.7181015,-29.94330025,1
-51.0163889,-29.9358333,1
-51.76029968,-29.90500069,1
-50.068514,-29.868353,1
-50.6745,-29.7975278,1
-57.0882988,-29.75469971,1
-51.164952,-29.720588,1
-50.0476944,-29.6503611,1
-53.35720062,-29.62170029,1
-49.9843056,-29.6039167,1
-50.0267222,-29.5909444,1
-50.07080078,-29.58530045,1
