long,'lat','lime'
-59.95,-15,1
-59.95,-15.02,1
-59.915623,-30.597155,1
-59.912479,-30.596656,1
-59.3,-23.1,1
-59.167175,-33.770618,1
-58.642749,-27.427319,1
-58.4667,-15.85,1
-58.0359,-24.5594,1
-57.88249969,-21.69890022,1
-57.8795,-24.763,1
-57.8369,-16.5165,1
-57.816304,-21.606489,1
-57.720915,-21.709952,1
-57.716908,-21.692938,1
-57.6833,-16.0667,1
-57.678889,-16.070833,1
-57.67888889,-16.07083333,1
-57.65330124,-19.00919914,1
-57.6533,-19.0092,1
-57.653056,-19.009444,1
-57.65305556,-19.00944444,1
-57.63623056,-25.30049444,1
-57.624533,-23.470983,1
-57.60169983,-19.00469971,1
-57.510619,-19.022219,1
-57.474722,-18.090556,1
-57.45,-19.6167,1
-57.375267,-25.303867,1
-57.3734,-25.3022,1
-57.3661,-25.3141,1
-57.29045,-25.249683,1
-57.280383,-23.456067,1
-57.2448,-25.2572,1
-57.236133,-23.471367,1
-57.1093,-30.1508,1
-57.057,-19.286,1
-57.021667,-19.575221,1
-57.019162,-19.577054,1
-57.0191,-19.5768,1
-57.018906,-19.576734,1
-57.018892,-19.576983,1
-57,-19.567,1
-56.962,-19.338,1
-56.955,-19.62,1
-56.9485,-16.7845,1
-56.802,-19.136,1
-56.783333,-19.05,1
-56.7671,-27.1962,1
-56.745433,-27.441017,1
-56.6944,-20.1319,1
-56.6269,-16.7838,1
-56.6228,-16.2567,1
-56.621944,-18.989078,1
-56.615556,-20.086667,1
-56.615295,-20.085921,1
-56.5,-23.88,1
-56.415,-19.611,1
-56.4001,-34.4456,1
-56.3657,-18.597989,1
-56.341,-19.598,1
-56.253553,-19.92707,1
-56.244,-19.576,1
-56.234,-19.567,1
-56.224,-19.555,1
-56.153058,-19.572096,1
-55.78720093,-20.47109985,1
-55.7690395,-20.3592729,1
-55.769039,-20.359273,1
-55.647,-20.073,1
-55.3,-19.161,1
-54.78939819,-22.07889938,1
-51.9386,-23.4253,1
-56.1548,-19.5724,1
-56.144,-19.5719,1
-57.0187,-19.5765,1
-57.7169,-21.6929,1
-57.8163,-21.6065,1
-57.7209,-21.71,1
-57.5106,-19.0222,1
-57.5564,-19.0184,1
