long,'lat','macro'
-72.7143333,-7.5593667,1
-72.6776333,-7.6104833,1
-72.670278,-7.631667,1
-72.65815,-7.6751,1
-68.56,-33.05,1
-67.5333,-14.4389,1
-66,-14.5,1
-65.21667,-26.81667,1
-64.9322,-27.0719,1
-64.8667,-27.4833,1
-64.6333,-25.3833,1
-64.1,-23.2167,1
-64.1,-23.1715,1
-64.0333,-24.4167,1
-63.969476,-23.070823,1
-63.8711111,-8.8686111,1
-63.563734,-23.207606,1
-63.2167,-17.3333,1
-62.697792,-22.269845,1
-61.85,-23.9,1
-60.035,-22.3071,1
-60.0333,-21.4469,1
-60.03,-22.35,1
-59.983,-15.1875,1
-59.9769,-20.0167,1
-59.9677,-22.349,1
-59.58,-20,1
-59.465,-18.2133,1
-59.3727,-22.9521,1
-59.18333,-23.2,1
-58.8619,-15.3173,1
-58.8598,-23.4304,1
-58.8333,-27.4667,1
-58.58,-15.1,1
-58.4572,-15.2558,1
-58.445,-23.9252,1
-58.4395,-15.0853,1
-58.3104,-14.4346,1
-58.11560059,-15.2407999,1
-58.0384,-24.4999,1
-58.0359,-24.5594,1
-57.9993,-25.2513,1
-57.995,-12.4251,1
-57.92,-19.22,1
-57.88249969,-21.69890022,1
-57.8821,-21.6986,1
-57.8369,-16.5165,1
-57.816304,-21.606489,1
-57.803056,-21.776111,1
-57.763611,-21.703333,1
-57.737778,-21.624167,1
-57.734722,-21.688889,1
-57.733889,-21.660833,1
-57.728611,-21.670833,1
-57.726389,-21.658889,1
-57.723611,-21.690556,1
-57.721111,-21.71,1
-57.721111,-21.690278,1
-57.720915,-21.709952,1
-57.720833,-21.701944,1
-57.716908,-21.692938,1
-57.713056,-21.703889,1
-57.705278,-21.638333,1
-57.695278,-21.633611,1
-57.65330124,-19.00919914,1
-57.6533,-19.0092,1
-57.6388,-21.5139,1
-57.622222,-19.240833,1
-57.60169983,-19.00469971,1
-57.55469894,-30.2071991,1
-57.510619,-19.022219,1
-57.4858,-14.6194,1
-57.474722,-18.090556,1
-57.45,-19.6167,1
-57.3761,-25.3141,1
-57.3734,-25.3022,1
-57.1501,-23.4167,1
-57.0882988,-29.75469971,1
-57.05,-26.02,1
-57.0429,-19.4693,1
-57.037544,-19.485006,1
-57.022,-19.4706,1
-57.021667,-19.575221,1
-57.019162,-19.577054,1
-57.01891,-19.576738,1
