long,'lat','major'
-60.03,-22.35,1
-62.5872,-22.3165,1
-59.3727,-22.9521,1
-57.8533,-23.5166,1
-62.23,-18.77,1
-63.8047,-24.7386,1
-57.43,-23.4083,1
-58.25,-24.05,1
-55.78,-15.42,1
-60.1316,-20.5632,1
-59.58,-20,1
-61.0953,-21.662,1
-56.5167,-20.2,1
-61.063,-23.3078,1
-60.035,-22.3071,1
-64.1,-23.2167,1
-61.65,-21.2,1
-55.8661,-1.76556,1
-57.6533,-19.0092,1
-56.09666667,-15.59611111,1
-61.30027778,-5.809444444,1
-55.86610031,-1.765560031,1
-54.70830154,-2.443059921,1
-60.025,-3.101944444,1
-52.20638889,-3.203333333,1
-54.06919861,-2.007780075,1
-69.9380833,-4.2525,1
-54.9546421,-2.504264,1
-63.9325,-8.91,1
-63.6955986,-8.809720039,1
-57.8369,-16.5165,1
-55.78720093,-20.47109985,1
-57.65330124,-19.00919914,1
-57.88249969,-21.69890022,1
-56.48189926,-21.12109947,1
-57.720833,-21.701944,1
-56.615556,-20.086667,1
-56.618889,-18.988056,1
-57.622222,-19.240833,1
-57.716908,-21.692938,1
-57.6388,-21.5139,1
-55.51810074,-1.917500019,1
-56.09669876,-15.59609985,1
-63.90390015,-8.761940002,1
-52.20640182,-3.20333004,1
-57.7169,-21.6929,1
-57.8163,-21.6065,1
-57.7209,-21.71,1
