long,'lat','mato'
-56.5042,-16.329917,1
-56.504083,-16.3312,1
-56.503683,-16.331233,1
-56.504017,-16.331783,1
-56.503933,-16.332117,1
-56.503633,-16.332183,1
-56.503817,-16.3329,1
-56.619111,-18.988056,1
-57.65330124,-19.00919914,1
-57.510619,-19.022219,1
-57.037544,-19.485006,1
-56.153058,-19.572096,1
-57.021667,-19.575221,1
-57.018906,-19.576734,1
-56.615556,-20.086667,1
-54.64640045,-20.44280052,1
-54.75141,-20.538759,1
-56.516944,-20.981389,1
-56.515,-20.996,1
-57.816304,-21.606489,1
-57.716908,-21.692938,1
-57.720833,-21.701944,1
-57.720915,-21.709952,1
-56.1548,-19.5724,1
-56.144,-19.5719,1
-57.0217,-19.5752,1
-57.7169,-21.6929,1
-57.8163,-21.6065,1
-57.7209,-21.71,1
-57.5106,-19.0222,1
-57.5564,-19.0184,1
