long,'lat','minu'
-53.791221,-26.030523,1
-51.900285,-27.147498,1
-50.219905,-29.486613,1
-78.546244,-3.843518,1
-78.546501,-3.843882,1
-78.546254,-3.843892,1
-78.546008,-3.844117,1
-78.546265,-3.844074,1
-76.164755,-0.635553,1
-53.975704,-25.85756,1
-59.414184,-1.917883,1
-67.869037,-9.952868,1
-46.95671,-22.924068,1
-74.93403,-9.617865,1
-73.168895,4.826464,1
-73.168932,4.82647,1
-73.169313,4.852815,1
-73.169249,4.852858,1
-73.171341,4.850121,1
-73.169255,4.852849,1
-41.896122,-20.817427,1
-49.773382,-17.05319,1
-50.898791,-29.407828,1
-47.933363,-15.970377,1
-47.9333,-15.970292,1
-46.375702,-22.749766,1
-78.545859,-3.843523,1
-78.545825,-3.84367,1
-78.545676,-3.843775,1
-78.545803,-3.84363,1
-78.545806,-3.843633,1
-78.545679,-3.843502,1
-78.545802,-3.843701,1
-78.545824,-3.843343,1
-78.545776,-3.843729,1
-78.545809,-3.84373,1
-78.535989,-3.845734,1
-78.545719,-3.843657,1
-78.545782,-3.843713,1
-78.545357,-3.84396,1
-78.545637,-3.843638,1
-78.545818,-3.843448,1
-78.545791,-3.843453,1
-78.545518,-3.843658,1
-78.54576,-3.843515,1
-78.54576,-3.843413,1
-78.545502,-3.843413,1
-49.362554,-26.221794,1
-43.309883,-22.41242,1
-54.914104,-22.211002,1
-43.121411,-22.423729,1
-48.590707,-22.740218,1
-67.870188,-9.956013,1
-50.898783,-29.407838,1
-51.900354,-27.147486,1
-51.900272,-27.147481,1
-43.531008,-19.259578,1
-40.926086,-18.505119,1
-44.986833,-23.21552,1
-65.984098,-10.947678,1
-76.2874,-6.46926,1
-77.602818,-0.622952,1
-40.51,-19.795556,1
-77.526298,-1.064257,1
-72.350426,5.606183,1
-54.441038,5.06734,1
-73.581003,4.073956,1
-75.581874,-0.837482,1
-73.182417,4.802556,1
-73.170444,4.810722,1
-46.956659,-22.923984,1
-73.180097,4.849783,1
-72.40783,5.51957,1
-72.42702,5.52246,1
-72.41348,5.51833,1
-72.4266,5.51982,1
-72.41318,5.51845,1
-47.562287,-24.004652,1
-47.86655,-15.946595,1
-78.066903,-1.401322,1
-78.066917,-1.401349,1
-78.066819,-1.401114,1
-78.066942,-1.401359,1
-40.639281,-19.903306,1
-45.596489,-19.460771,1
-50.173967,-29.480797,1
-50.176662,-29.481758,1
-53.983387,-27.125711,1
-45.596256,-20.470528,1
-41.007778,-20.510833,1
-54.753056,-20.538056,1
-73.420111,4.509611,1
-54.751667,-20.538056,1
-42.973438,-22.905701,1
-72.231145,5.585887,1
-72.243122,5.609499,1
-72.250704,5.611185,1
-61.380814,10.414003,1
-49.962942,-9.414411,1
-72.25148,5.587735,1
-72.326026,5.553397,1
-72.349708,5.541763,1
-42.754933,-20.818346,1
-53.657092,-22.921766,1
-72.47678,5.44455,1
-49.468216,-28.643353,1
-72.49701,5.40506,1
-72.50871,5.42412,1
-41.797611,-20.623,1
-41.760111,-20.5815,1
-70.098537,-12.55976,1
-41.767528,-20.590056,1
-46.483749,-23.444757,1
-59.583301,-18.338462,1
-41.0055,-20.655917,1
-49.983056,-9.404722,1
-75.866667,1.566667,1
-75.866667,1.6,1
-43.59,-20.47,1
-64.761667,-3.453056,1
-40.57,-20.326389,1
-40.638333,-20.455556,1
-56.948444,-9.225208,1
-61.415472,2.436889,1
-61.418583,2.443361,1
-61.415528,2.434917,1
-48.137506,-10.291028,1
-38.622952,-3.946803,1
-43.23426,-20.326862,1
-56.153058,-19.572096,1
-56.521065,-20.968508,1
-41.849444,-20.42,1
-44.875947,-23.309313,1
-54.154528,-31.894556,1
-54.139042,-31.91398,1
-75.666025,1.619328,1
-40.564119,-20.383269,1
-51.184096,-28.313678,1
-61.785833,1.707111,1
-61.805167,1.713833,1
-44.282905,-17.882969,1
-55.621944,-20.450833,1
-54.931111,-19.790833,1
-48.29449,-10.297413,1
-46.935833,-23.231389,1
-56.087017,-19.588499,1
-45.287222,-22.803889,1
-73.793,2.261,1
-73.75765,2.24867,1
-46.979915,-23.775374,1
-54.876669,-20.759263,1
-72.526944,5.421389,1
-66.117778,0.626944,1
-67.062775,-0.130553,1
-45.625861,-22.805833,1
-43.59,-20.48,1
-49.590833,-16.15636,1
-72.032956,5.823272,1
-72.033056,5.823333,1
-73.13367,4.12419,1
-73.13067,4.12386,1
-73.13831,4.18356,1
-73.17633,3.4388,1
-72.20125,5.758556,1
-71.918056,5.758611,1
-73.355694,4.734278,1
-40.542222,-19.909722,1
-54.75141,-20.538759,1
-55.33704,-30.03601,1
-54.98948,-30.2382,1
-55.28523,-30.07667,1
-54.21661,-30.36543,1
-48.371389,-24.097778,1
-40.948611,-20.248611,1
-40.825694,-20.384389,1
-53.75855,-32.14045,1
-40.990556,-20.483611,1
-77.85198,-1.37415,1
-50.239917,-24.578778,1
-54.443889,-32.911389,1
-53.388889,-32.590556,1
-72.499972,5.381667,1
-56.08083,2.16977,1
-50.208787,-29.486488,1
-43.44,-20.24,1
-55.425642,-24.134543,1
-54.732639,-22.328556,1
-43.502271,-20.230239,1
-40.552625,-19.668056,1
-42.235,-20.60225,1
-50.29645,-29.40183,1
-54.60373,4.81701,1
-70.71,-9.77,1
-68.254486,10.282892,1
-73.799972,2.266667,1
-43.71,-19.17,1
-41.121389,-20.541389,1
-78.550363,-3.844903,1
-57.622222,-19.240833,1
-51.707361,-20.993472,1
-72.447611,5.502222,1
-50.177073,-24.684247,1
-50.173889,-29.481944,1
-50.383333,-29.383333,1
-58.907,4.25587,1
-58.9086,4.2516,1
-42.65,-22.45,1
-52.989444,-32.047778,1
-43.264364,-20.227225,1
-49.677531,-26.712374,1
-62,-16.36,1
-63.29,-17.52,1
-49.293507,-5.457154,1
-47.978718,-15.686511,1
-49.676391,-26.711496,1
-72.706001,5.294,1
-46.749167,-1.048333,1
-46.737222,-0.974444,1
-72.456111,5.449722,1
-46.351944,-23.367222,1
-43.646568,-20.299837,1
-55.336389,-29.598056,1
-46.071944,-20.604722,1
-65.81,-12.77,1
-52.597833,-29.449483,1
-52.9697,-26.8306,1
-51.355278,-28.616111,1
-52.7518,-27.163,1
