long,'lat','motor'
-55.78720093,-20.47109985,1
-57.720833,-21.701944,1
-56.615556,-20.086667,1
-56.618889,-18.988056,1
-54.75141,-20.538759,1
-54.754722,-20.5375,1
-57.716908,-21.692938,1
-57.720915,-21.709952,1
-57.65330124,-19.00919914,1
-61.0725,-14.910556,1
-58.528611,-17.038611,1
-56.280556,-16.588611,1
-57.529722,-15.974444,1
-55.941667,-15.659167,1
-54.975185,-15.95597,1
-57.557778,-17.8775,1
-57.875131,-21.700041,1
-56.309167,-16.366111,1
-57.156111,-16.652222,1
-56.748056,-16.516111,1
-59.570278,-14.927778,1
-58.1525,-16.299722,1
-57.72083,-21.70194,1
-57.58695,-21.49224,1
-56.61556,-20.08667,1
-55.863,-19.756,1
-56.61912,-18.98806,1
-59.95,-15.016667,1
