long,'lat','nanus'
-58.073502,-31.434739,1
-66.086928,-11.028893,1
-66.085816,-11.028047,1
-49.772147,-17.079379,1
-38.370501,-5.09775,1
-63.170073,-17.815266,1
-58.353223,-34.608584,1
-48.566789,-22.775037,1
-58.352903,-34.61578,1
-58.353007,-34.61575,1
-59.618393,-26.79322,1
-59.596997,-26.810796,1
-46.682948,-23.667031,1
-53.975786,-25.857553,1
-60.846263,-31.736524,1
-58.353043,-34.614714,1
-36.7396,-9.6701,1
-53.417671,-18.158788,1
-51.40474,-20.38909,1
-54.751667,-20.538056,1
-56.153058,-19.572096,1
-53.85526,-19.025,1
-57.716908,-21.692938,1
-54.753056,-20.538056,1
-57.816304,-21.606489,1
-57.720915,-21.709952,1
-53.657092,-22.921766,1
-38.506797,-7.439934,1
-38.506538,-7.440051,1
-51.715768,-20.772684,1
-54.554516,-25.599855,1
-51.654439,-20.751333,1
-60.599225,-32.877574,1
-59.509582,-18.287647,1
-44.132093,-6.786381,1
-61.185938,-30.186691,1
-57.019167,-19.577056,1
-61.113551,-25.021522,1
-60.895852,-25.32757,1
-60.995924,-25.009452,1
-57.021667,-19.575221,1
-56.521065,-20.968508,1
-57.037544,-19.485006,1
-57.019162,-19.577054,1
-57.510619,-19.022219,1
-54.616036,-20.505172,1
-54.754722,-20.5375,1
-56.615295,-20.085921,1
-57.018906,-19.576734,1
-54.905611,-19.804111,1
-54.905619,-19.804106,1
-54.6174,-20.50344,1
-59.618254,-26.793084,1
-54.876669,-20.759263,1
-57.182938,-28.537297,1
-57.182069,-28.536782,1
-55.066944,-20.158222,1
-49.590833,-16.15636,1
-54.609408,-20.387847,1
-54.75141,-20.538759,1
-57.018892,-19.576983,1
-58.761993,-33.490439,1
-48.621786,-18.662361,1
-45.517151,-15.490085,1
-48.84875,-16.670889,1
-49.277833,-20.417769,1
-48.954556,-16.57325,1
-47.712778,-12.267222,1
-48.439444,-6.207222,1
-47.886944,-12.849167,1
-59.465,-18.2133,1
-56.0583,-22.6333,1
-49.25,-25.4167,1
-57.8533,-23.5166,1
-57.7,-24.93,1
-55.725,-27.1839,1
-57.05,-26.02,1
-58.0359,-24.5594,1
-58.4667,-15.85,1
-47.7,-21.6,1
-57.1,-25.3,1
-56.6944,-20.1319,1
-46.75,-23.4167,1
-55.9464,-23.2239,1
-58.0384,-24.4999,1
-56.4,-26.17,1
-56.5,-23.88,1
-58.47,-15.85,1
-59.3667,-15.191,1
-44.5778,-17.8889,1
-57.7,-16.75,1
-49.92,-22.83,1
-46.35,-23.9667,1
-57.57,-25.1,1
-57.3398,-23.2749,1
-57.3833,-17.15,1
-57.65,-19.0167,1
-57.28,-23.42,1
-43.65,-19,1
-58.4899,-23.8194,1
-56.779,-26.1011,1
-57.3761,-25.3141,1
-56.8833,-25.5167,1
-56.3987,-25.2668,1
-58.445,-23.9252,1
-57.65,-25.35,1
-56.8,-25.4,1
-55.6741,-24.2698,1
-67.5333,-14.4389,1
-56.401,-25.2848,1
-57.0284,-22.8592,1
-56.8497,-26.1378,1
-56.5125,-22.1417,1
-48.05,-23.6,1
-46.6167,-23.5333,1
-56.779,-26.0921,1
-57.7,-24.9333,1
-57.45,-19.6167,1
-57.3734,-25.3022,1
-66,-14.5,1
-59.58,-20,1
-55.85,-25.8667,1
-51.15,-29.7667,1
-57.6,-25.47,1
-41.4586,-4.42472,1
-41.7767,-2.90472,1
-41.9031,-2.89,1
-41.8214,-2.85833,1
-44.3617,-15.4881,1
-47.4694,-7.33278,1
-40.7664,-17.7031,1
-48.9292,-27.9014,1
-57.6533,-19.0092,1
-51.3967,-16.0078,1
-42.9403,-14.5731,1
-36.5864,-10.2903,1
-54.8222,-22.6342,1
-47.4511,-6.56056,1
-47.7569,-7.20472,1
-48.2772,-18.9186,1
-50.1447,-29.0478,1
-43.8578,-20.4997,1
-42.8192,-14.9261,1
-42.4333,-14.8497,1
-45.0694,-16.3686,1
-45.4139,-16.69,1
-47.56000137,-22.40999985,1
-51.14830017,-29.8246994,1
-48.16972222,-21.79027778,1
-52.60472222,-23.66333333,1
-53.75916667,-20.44333333,1
-57.67888889,-16.07083333,1
-48.72,-23.38,1
-50.61555556,-24.32416667,1
-50.66916667,-11.61722222,1
-47,-21.46,1
-46.97972222,-22.70027778,1
-40.49833333,-9.411944444,1
-40.43055556,-13.44111111,1
-49.36972222,-20.82,1
-58.519725,-33.01488333,1
-44.79166667,-4.291944444,1
-48.43972222,-22.88,1
-57.65305556,-19.00944444,1
-48.11972222,-22.28027778,1
-48.60805556,-16.65916667,1
-56.48166667,-21.12111111,1
-48.35,-23.4,1
-47.88694444,-12.84916667,1
-47.71277778,-12.26722222,1
-48.43944444,-6.207222222,1
-51.39416667,-20.39555556,1
-51.70736111,-20.99347222,1
-46.05749893,-22.61219978,1
-49.92580032,-16.80500031,1
-50.50310135,-10.46969986,1
-35.12609863,-6.838610172,1
-47.13000107,-23.29999924,1
-45.65999985,-23.37999916,1
-47.88999939,-22.01000023,1
-37.31529999,-10.7578001,1
-49.52890015,-11.79669952,1
-47.59000015,-21.20999908,1
-53.3431015,-22.23329926,1
-47.06000137,-22.89999962,1
-48.43999863,-22.87999916,1
-37.30889893,-7.162499905,1
-49.86999893,-22.96999931,1
-48.36000061,-21.60000038,1
-58.98701944,-27.45131944,1
-60.08432222,-31.09963333,1
-60.95400833,-26.58576667,1
-48.608056,-16.659167,1
-51.9302778,-29.8255556,1
-53.66,-31.5713889,1
-53.7533333,-31.5766667,1
-53.7561111,-31.5491667,1
-53.6791667,-31.5730556,1
-53.69,-31.5636111,1
-50.0266667,-29.5908333,1
-53.7002778,-31.5519444,1
-53.7,-31.5519444,1
-51.0944319,-30.2212095,1
-55.3641833,-30.77115,1
-46.7391667,-0.9738889,1
-53.5071,-29.61,1
-36.17559814,-10.12559986,1
-55.98360062,-4.276110172,1
