long,'lat','nasicus'
-50.554,-20.6877,1
-50.92805556,-17.79833333,1
-51.1117,-20.6441,1
-51.22499847,-27.40169907,1
-51.3944,-20.3954,1
-51.47999954,-20.87000084,1
-51.6783,-20.7511,1
-52.1746,-21.7528,1
-53.1292,-18.5439,1
-53.657092,-22.921766,1
-53.7178,-29.7136,1
-53.8,-29.6833,1
-53.8069,-29.6842,1
-54.260761,-26.699275,1
-54.436,-17.646,1
-54.5423,-21.8025,1
-54.5833,-25.65,1
-54.608056,-20.385008,1
-54.618611,-19.4275,1
-54.64640045,-20.44280052,1
-54.751667,-20.538056,1
-54.754281,-20.5377,1
-54.754722,-20.5375,1
-54.8222,-22.6342,1
-54.91419983,-30.25830078,1
-54.96139908,-20.93190002,1
-55.007918,-27.406147,1
-55.057747,-27.455059,1
-55.4364,-16.4825,1
-55.67,-26.76,1
-55.725,-27.1839,1
-55.75,-26.95,1
-55.769039,-20.359273,1
-55.7690395,-20.3592729,1
-55.786944,-20.471111,1
-55.78720093,-20.47109985,1
-55.805279,-26.523333,1
-55.88953,-29.82909,1
-55.94,-25.07,1
-56.00439835,-28.66060066,1
-56.0434,-13.2931,1
-56.0583,-22.6333,1
-56.0628,-34.6469,1
-56.09669876,-15.59609985,1
-56.1141,-19.565,1
-56.1144,-19.5543,1
-56.1206,-19.5697,1
-56.1264,-19.5421,1
-56.1272,-19.5419,1
-56.1305,-19.5346,1
-56.1375,-19.5519,1
-56.146,-19.5723,1
-56.1496,-19.5683,1
-56.1506,-19.5779,1
-56.1514,-19.5727,1
-56.153058,-19.572096,1
-56.295773,-23.812719,1
-56.3658,-15.2047,1
-56.371208,-18.593556,1
-56.44,-24.1,1
-56.48189926,-21.12109947,1
-56.4819,-21.1211,1
-56.4833,-24.1,1
-56.5,-27.4167,1
-56.5125,-22.1417,1
-56.515,-20.996,1
-56.5167,-20.2,1
-56.516944,-20.981389,1
-56.517567,-21.116792,1
-56.52,-22.23,1
-56.52,-22.21,1
-56.5281,-15.8315,1
-56.566944,-19.418056,1
-56.615556,-20.086667,1
-56.61775,-18.995083,1
-56.621944,-18.989078,1
-56.63575,-19.004561,1
-56.641111,-18.980833,1
-56.665417,-18.989972,1
-56.695282,-36.617861,1
-56.71500015,-20.53860092,1
-56.7233,-18.731,1
-56.7333,-24.8986,1
-56.745137,-16.502805,1
-56.7672,-17.3559,1
-56.7672,-17.355983,1
-56.783333,-19.05,1
-56.7891,-20.4952,1
-56.858897,-16.749312,1
-56.878883,-16.758449,1
-56.9333,-22.3833,1
-57.0072,-19.5172,1
-57.0073,-19.5101,1
-57.009,-19.5046,1
-57.0092,-19.4742,1
-57.0109,-19.4962,1
-57.0136,-19.4723,1
-57.0139,-19.481,1
-57.0145,-19.479,1
-57.0165,-19.4711,1
-57.018892,-19.576983,1
-57.018906,-19.576734,1
-57.0191,-19.5772,1
-57.0192,-19.5769,1
-57.021667,-19.575221,1
-57.0272,-19.4852,1
-57.0284,-22.8592,1
-57.03,-23.07,1
-57.03,-26.79,1
-57.036,-19.6062,1
-57.0428,-19.4904,1
-57.05,-26.02,1
-57.0763,-19.446,1
-57.0882988,-29.75469971,1
-57.1093,-30.1508,1
-57.140785,-26.670718,1
-57.15,-22.3333,1
-57.15,-25.6333,1
-57.15784,-28.533404,1
-57.172368,-28.53404,1
-57.172717,-28.53494,1
-57.173738,-28.534789,1
-57.17517,-28.535286,1
-57.175474,-28.535566,1
-57.18109894,-15.07250023,1
-57.183151,-28.541549,1
-57.1833,-24.1667,1
-57.186192,-28.537876,1
-57.186327,-28.537858,1
-57.233639,-24.692472,1
-57.2667,-27.4,1
-57.28,-23.42,1
-57.280383,-23.456067,1
-57.32,-26.4,1
-57.35,-25.1,1
-57.3761,-25.3141,1
-57.3898,-23.367,1
-57.43,-23.4083,1
-57.432597,-17.655786,1
-57.4333,-23.4083,1
-57.45,-19.6167,1
-57.5,-25.3,1
-57.5333,-25.3333,1
-57.540538,-27.98836,1
-57.54071,-27.988436,1
-57.56156,-25.51109,1
-57.57,-25.1,1
-57.59,-22.76,1
