long,'lat','natte'
-44.66,-10.157778,1
-44.865081,-19.984231,1
-45.24169922,-18.20639992,1
-45.2417,-18.2064,1
-45.277771,-19.277741,1
-45.431076,-20.746956,1
-45.596489,-19.460771,1
-46.0094,-17.0097,1
-46.04999924,-20.61529922,1
-46.17250061,-17.74250031,1
-46.51440048,-17.83530045,1
-46.5389,-19.4783,1
-46.568335,-21.150872,1
-46.781078,-12.831183,1
-46.88,-21.59,1
-47.326111,-16.181389,1
-47.3261111,-16.1813889,1
-47.42,-21.99,1
-47.5247,-14.7056,1
-47.56,-22.41,1
-47.61,-21.9,1
-47.61000061,-21.89999962,1
-47.62,-22.22,1
-47.6257,-22.2207,1
-47.65999985,-22.12000084,1
-47.676014,-15.801039,1
-47.70000076,-21.54999924,1
-47.72,-22.33,1
-47.789542,-16.586805,1
-47.7972,-21.6031,1
-47.82,-22.25,1
-47.84999847,-20.57999992,1
-47.86555556,-20.49833333,1
-47.865556,-20.498333,1
-47.868333,-20.502778,1
-47.86833333,-20.50277778,1
-47.8863,-18.8031,1
-47.944484,-18.166096,1
-48.119722,-22.280278,1
-48.11972222,-22.28027778,1
-48.12,-22.28,1
-48.133204,-15.773607,1
-48.276944,-18.918611,1
-48.27694444,-18.91861111,1
-48.27719879,-18.91860008,1
-48.3106,-20.3183,1
-48.3167,-21.2566,1
-48.35,-23.4,1
-48.4322,-22.8562,1
-48.439722,-22.88,1
-48.43972222,-22.88,1
-48.43999863,-22.87999916,1
-48.4448,-22.8859,1
-48.4467,-22.2697,1
-48.5306,-22.3027,1
-48.5372,-21.6205,1
-48.6081,-16.6589,1
-48.60810089,-16.65889931,1
-48.79999924,-22.59000015,1
-48.8659,-22.4317,1
-48.97,-21.13,1
-49.01670074,-17.30279922,1
-49.0312,-20.9635,1
-49.0555,-21.3173,1
-49.06,-22.31,1
-49.0685997,-11.72920036,1
-49.0707,-22.3216,1
-49.137,-22.4169,1
-49.183,-21.1059,1
-49.1933,-16.2203,1
-49.1933,-20.3633,1
-49.1975,-20.303,1
-49.1977,-20.3411,1
-49.1979,-20.3412,1
-49.1982,-20.3578,1
-49.2008,-20.3515,1
-49.2201,-20.7953,1
-49.2203,-20.7951,1
-49.2211,-21.4691,1
-49.2388,-20.3641,1
-49.2439,-20.5506,1
-49.2526,-20.3792,1
-49.2751,-20.3745,1
-49.2758,-20.3749,1
-49.2908,-20.8526,1
-49.3001,-20.815,1
-49.3023,-20.8294,1
-49.3059,-20.8378,1
-49.3547,-18.0125,1
-49.3594,-20.7854,1
-49.369722,-20.82,1
-49.36972222,-20.82,1
-49.378,-21.0429,1
-49.3794,-20.8197,1
-49.3796,-20.8108,1
-49.38,-20.8112,1
-49.3837,-20.7101,1
-49.3872,-20.6567,1
-49.3945,-21.5842,1
-49.4219,-20.8721,1
-49.4222,-20.87,1
-49.429,-20.6746,1
-49.4329,-20.696,1
-49.4343,-20.3915,1
-49.4344,-20.3916,1
-49.4359,-20.6866,1
-49.439,-20.8765,1
-49.456457,-18.947248,1
-49.4614,-20.8641,1
-49.4643,-20.6169,1
-49.4688,-20.723,1
-49.4743,-20.8469,1
-49.4744,-20.847,1
-49.4755,-20.8618,1
-49.476,-20.7481,1
-49.4811,-20.7728,1
-49.5022,-21.3992,1
-49.505,-20.3211,1
-49.5156,-20.7584,1
-49.52890015,-11.79669952,1
-49.5378,-20.7829,1
-49.5434,-21.0767,1
-49.5455,-20.7896,1
-49.6814,-19.981,1
-49.6901,-22.3961,1
-49.6954,-22.4053,1
-49.6995,-20.1625,1
-49.779763,-17.091855,1
-49.7799,-20.4819,1
-49.8304,-23.0764,1
-49.86999893,-22.96999931,1
-49.8705,-22.9794,1
-49.8976,-20.8877,1
-49.9209,-20.9083,1
-49.9287,-21.0344,1
-49.9291,-20.7427,1
-49.9648,-20.8071,1
-49.9722,-20.4252,1
-49.9738,-21.0152,1
-50.0866,-20.5144,1
-50.1456,-20.677,1
-50.1944,-20.1458,1
-50.24,-20.28027778,1
-50.24,-20.280278,1
-50.2904,-19.9802,1
-50.3421,-20.9196,1
-50.349,-20.926,1
-50.378234,-22.569044,1
-50.4003,-21.2204,1
-50.4338,-20.0036,1
-50.485,-20.1972,1
-50.4851,-20.197,1
-50.5,-18.9333,1
-50.554,-20.6877,1
-50.64,-21.26,1
-50.8923,-20.1782,1
-50.8937,-20.1852,1
-50.9267,-20.2109,1
-51.0022,-20.1794,1
-51.1875,-19.6751,1
-51.34000015,-20.43000031,1
-51.36999893,-20.88999939,1
-51.39416667,-20.39555556,1
-51.394167,-20.395556,1
-51.40474,-20.38909,1
-51.41889954,-20.36720085,1
-51.47999954,-20.87000084,1
-51.5334,-21.4837,1
-51.5733,-21.3864,1
-51.67829895,-20.75110054,1
-51.7342,-19.1133,1
-51.7734,-17.9385,1
-51.82220078,-16.42690086,1
-51.9386,-23.4253,1
-52.102232,-12.853099,1
-52.158333,-14.050278,1
-52.15833333,-14.05027778,1
-52.15859985,-14.05000019,1
-52.1716,-22.6214,1
-52.2341,-22.5446,1
-52.3293,-22.3699,1
-52.545,-16.1961,1
-52.592149,-19.444058,1
-53.12919998,-18.54389954,1
-53.1292,-18.5439,1
-53.3431,-22.2333,1
-53.3952778,-15.3447222,1
-53.395278,-15.344722,1
-53.4175,-15.345,1
-53.75916667,-20.44333333,1
-53.759167,-20.443333,1
-54.38389969,-21.46579933,1
-54.436,-17.646,1
-54.5423,-21.8025,1
-54.559786,-20.454742,1
-54.560833,-19.636667,1
-54.640942,-20.438239,1
-54.64638889,-20.44305556,1
-54.646389,-20.443056,1
-54.64640045,-20.44280052,1
-54.679944,-20.442319,1
-54.75141,-20.538759,1
-54.751667,-20.538056,1
-54.78939819,-22.07889938,1
-54.82939911,-19.83169937,1
-54.86029816,-20.44219971,1
-54.905619,-19.804106,1
-55.5396,-15.1071,1
-55.555867,-20.456772,1
-55.560517,-20.45338,1
-55.769039,-20.359273,1
-55.7690395,-20.3592729,1
-55.7872,-20.4711,1
-55.78720093,-20.47109985,1
-55.80690002,-20.48360062,1
-55.83000183,-21.13529968,1
-55.8894,-15.48,1
-56.09666667,-15.59611111,1
-56.096667,-15.596111,1
-56.09669876,-15.59609985,1
-56.1381,-21.4803,1
-56.1657,-13.0377,1
-56.255,-15.5709,1
-56.276422,-23.794941,1
-56.382,-21.102,1
-56.421944,-15.333611,1
-56.4219444,-15.3336111,1
-56.429,-21.436,1
-56.48189926,-21.12109947,1
-56.516179,-20.982435,1
-56.520855,-20.987188,1
-56.521065,-20.968508,1
-56.615295,-20.085921,1
-56.615556,-20.086667,1
-56.733333,-15.25,1
-57.15,-22.3333,1
-57.26,-23.49,1
-57.280383,-23.456067,1
-57.34315,-22.4333,1
-57.59,-22.76,1
-57.6,-22.45,1
-57.622222,-19.240833,1
-57.6532,-19.0012,1
-57.67888889,-16.07083333,1
