size	occup	freq
Large	main	1
Large	main	1
Large	main	1
Large	main	1
Large	margin	1
Large	main	1
Large	margin	1
Large	main	1
Large	main	1
Large	main	1
Large	margin	1
Medium	main	1
Medium	main	1
Medium	margin	1
Medium	main	1
Medium	margin	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	margin	1
Medium	main	1
Medium	margin	1
Medium	margin	1
Medium	main	1
Medium	margin	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	margin	1
Medium	main	1
Medium	main	1
Medium	main	1
Medium	main	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	margin	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	main	1
Small	main	1
Small	main	1
Small	margin	1
Small	main	1
Small	margin	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	main	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	margin	1
Small	margin	1
Small	main	1
Small	main	1
Small	margin	1
Small	margin	1
Small	main	1
Small	margin	1
Small	main	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
Small	margin	1
