long,'lat','podi'
-58.06667,-1.61667,1
-54.70830154,-2.443059921,1
-54.9546421,-2.504264,1
-52.01,-2.88,1
-55.18333,-3.05,1
-60.025,-3.10194,1
-64.732694,-3.409361,1
-70.1333333,-4.0333333,1
-59.58,-4.42,1
-49.11777778,-5.368611111,1
-61.28,-5.83,1
-61.7,-6.03,1
-47.3992,-6.33833,1
-47.4511,-6.56056,1
-62.88,-7.07,1
-48.2072,-7.19111,1
-47.4694,-7.33278,1
-63.0259,-7.5076,1
-63.0298,-7.5169,1
-47.3142,-7.71,1
-34.82555556,-7.748055556,1
-63.4949,-8.6653,1
-63.90390015,-8.761940002,1
-63.90388889,-8.761944444,1
-49.5564,-8.80361,1
-48.5103,-8.83417,1
-72.79170227,-8.941109657,1
-35.49330139,-9.238329887,1
-49.809512,-9.284925,1
-49.986949,-9.411455,1
-49.974534,-9.415675,1
-50.000349,-9.418422,1
-49.941205,-9.430589,1
-49.909555,-9.446278,1
-48.3762,-9.5654,1
-36.7396,-9.6701,1
-63.1333,-9.71667,1
-51.13,-10.2127778,1
-36.5864,-10.2903,1
-48.41719818,-10.70810032,1
-51.709115,-10.850821,1
-65.972553,-10.861706,1
-66.100078,-11.025425,1
-50.66939926,-11.6171999,1
-49.0686,-11.7292,1
-49.0685997,-11.72920036,1
-49.52890015,-11.79669952,1
-48.9708,-11.9933,1
-48.5396,-12.0371,1
-49.1742,-12.1308,1
-57.995,-12.4251,1
-55.71139908,-12.54529953,1
-50.1628,-13.275,1
-49.1486,-13.4408,1
-48.0783,-14.1514,1
-58.3104,-14.4346,1
-67.5333,-14.4389,1
-47.0503006,-14.44859982,1
-48.45970154,-14.47389984,1
-66,-14.5,1
-62.616667,-14.666667,1
-52.35,-14.6667,1
-39.04940033,-14.78890038,1
-58.4395,-15.0853,1
-55.5396,-15.1071,1
-58.8619,-15.3173,1
-56.4213889,-15.335,1
-55.78,-15.42,1
-55.74944444,-15.46083333,1
-55.8894,-15.48,1
-44.3617,-15.4881,1
-56.09666667,-15.59611111,1
-58.1782,-15.6261,1
-56.5281,-15.8315,1
-58.4667,-15.85,1
-58.9808,-15.9571,1
-51.3967,-16.0078,1
-57.67888889,-16.07083333,1
-56.6228,-16.2567,1
-45.0694,-16.3686,1
-54.624,-16.4853,1
-57.8369,-16.5165,1
-54.668,-16.5198,1
-49.2539,-16.6786,1
-56.8221,-16.6856,1
-45.4139,-16.69,1
