long,'lat','pseudis'
-60.842781,-31.738403,1
-60.842786,-31.738389,1
-60.877121,-31.730834,1
-61.155856,-30.200989,1
-58.685441,-27.373417,1
-58.693127,-27.372122,1
-59.596997,-26.810796,1
-59.618393,-26.79322,1
-59.341407,-26.486994,1
-61.217332,-24.270767,1
-58.8598,-23.4304,1
-48.61,-23.100278,1
-48.61,-23.10027778,1
-53.657092,-22.921766,1
-52.1716,-22.6214,1
-52.16,-22.53,1
-49.0707,-22.3216,1
-51.3882,-22.123,1
-54.5423,-21.8025,1
-52.1746,-21.7528,1
-49.358,-21.7369,1
-57.7424,-21.7036,1
-57.720833,-21.701944,1
-57.88249969,-21.69890022,1
-57.8821,-21.6986,1
-57.886069,-21.697056,1
-57.7409,-21.697,1
-57.7387,-21.6931,1
-57.716908,-21.692938,1
-57.7382,-21.6927,1
-57.7385,-21.6925,1
-57.7354,-21.6903,1
-57.7344,-21.671,1
-57.824,-21.649,1
-57.7051,-21.638,1
-57.6948,-21.6332,1
-57.816304,-21.606489,1
-49.3945,-21.5842,1
-51.5334,-21.4837,1
-49.2211,-21.4691,1
-49.946,-21.2293,1
-47.8103,-21.1775,1
-47.8091,-21.1747,1
-47.8549,-21.166,1
-56.48189926,-21.12109947,1
-49.183,-21.1059,1
-49.5434,-21.0767,1
-49.9287,-21.0344,1
-49.9738,-21.0152,1
-56.515,-20.996,1
-56.521065,-20.968508,1
-49.9209,-20.9083,1
-49.8976,-20.8877,1
-56.4401,-20.8135,1
-54.876669,-20.759263,1
-51.6783,-20.7511,1
-50.3606,-20.6483,1
-50.226,-20.6445,1
-51.1117,-20.6441,1
-55.78720093,-20.47109985,1
-55.621944,-20.450833,1
-55.621712,-20.45077,1
-52.878,-20.4445,1
-54.64640045,-20.44280052,1
-49.267,-20.4187,1
-51.3944,-20.3954,1
-49.4344,-20.3916,1
-49.4343,-20.3915,1
-49.43000031,-20.38999939,1
-51.404,-20.3894,1
-54.611308,-20.385655,1
-49.278,-20.353,1
-49.9096,-20.3205,1
-49.1975,-20.303,1
-50.2467,-20.284,1
-51.0022,-20.1794,1
-56.615556,-20.086667,1
-56.615295,-20.085921,1
-49.915,-20.0796,1
-56.307542,-19.968999,1
-56.304068,-19.954154,1
-54.82939911,-19.83169937,1
-54.560833,-19.636667,1
-56.1506,-19.5779,1
-57.0192,-19.5769,1
-57.018906,-19.576734,1
-57.0359,-19.5741,1
-56.146,-19.5723,1
-56.153058,-19.572096,1
-56.1129,-19.5638,1
-56.1339,-19.5488,1
-56.1272,-19.5419,1
-56.1305,-19.5346,1
-54.04389954,-19.53140068,1
-57.0145,-19.479,1
-57.0763,-19.446,1
-57.622222,-19.240833,1
-56.783333,-19.05,1
-57.65305556,-19.00944444,1
-57.6533,-19.0092,1
-57.65330124,-19.00919914,1
-56.368581,-19.004669,1
-56.63575,-19.004561,1
-57.6532,-19.0012,1
-56.661083,-18.990278,1
-56.665417,-18.989972,1
-56.621944,-18.989078,1
-56.619111,-18.988056,1
-56.621944,-18.986389,1
-56.371208,-18.593556,1
-50.4182,-18.4077,1
-57.474722,-18.090556,1
-56.876243,-16.757403,1
-56.8221,-16.6856,1
-56.739709,-16.495066,1
-56.1548,-19.5724,1
-56.144,-19.5719,1
-57.7169,-21.6929,1
-57.8163,-21.6065,1
-53.7471,-22.9008,1
-56.524,-20.9659,1
