long,'lat','punc'
-66.09337,-11.031923,1
-66.092872,-11.031601,1
-73.67453,3.849002,1
-61.374854,10.443833,1
-61.275923,10.523807,1
-61.275492,10.522555,1
-60.19021,-3.287607,1
-76.431184,-0.521477,1
-77.865069,-0.939853,1
-56.304068,-19.954161,1
-66.050819,-11.009037,1
-73.169303,4.85273,1
-73.168915,4.826491,1
-73.16924,4.852852,1
-73.169305,4.852846,1
-51.794461,3.886609,1
-72.557325,-7.731993,1
-72.556551,-7.732188,1
-61.374854,10.443829,1
-78.63108,-3.750158,1
-59.618393,-26.79322,1
-59.596997,-26.810796,1
-72.851823,4.644103,1
-73.672082,3.715943,1
-72.294466,-3.598751,1
-72.292786,-3.598644,1
-61.374973,10.444898,1
-76.460494,-0.469306,1
-76.460222,-0.469806,1
-76.460015,-0.46905,1
-61.275909,10.52324,1
-72.040825,4.174562,1
-75.802515,-6.081304,1
-69.1181,-12.224236,1
-71.402666,-12.894106,1
-71.401855,-12.911847,1
-76.292225,0.478066,1
-59.147267,-3.17885,1
-74.746936,2.032457,1
-73.191639,4.818528,1
-73.138777,-3.628142,1
-77.601124,-1.017784,1
-73.163051,4.816493,1
-53.417671,-18.158788,1
-54.753056,-20.538056,1
-54.751667,-20.538056,1
-53.85526,-19.025,1
-54.6411,-20.507,1
-57.720915,-21.709952,1
-57.816304,-21.606489,1
-46.042121,-7.541329,1
-75.660986,1.503051,1
-55.020888,5.793312,1
-61.380814,10.414003,1
-76.17065,0.2842,1
-73.888925,2.296164,1
-51.816217,3.857346,1
-72.54477,3.470066,1
-72.537753,3.467697,1
-72.538261,3.465696,1
-72.543128,3.468261,1
-72.538695,3.465384,1
-72.531859,3.455736,1
-72.545985,3.470287,1
-71.655602,4.829501,1
-71.642182,4.834108,1
-66.130556,-3.662222,1
-77.58091,-1.029779,1
-77.524766,-1.055127,1
-76.375894,-0.485472,1
-77.856858,-0.969128,1
-76.46027,-0.461673,1
-69.08092,-12.60828,1
-77.037119,-2.465654,1
-54.753637,-20.537925,1
-54.754281,-20.5377,1
-60.995924,-25.009452,1
-72.140994,4.179284,1
-63.184562,-17.447694,1
-74.680194,0.151903,1
-69.117426,-12.227291,1
-77.563328,-1.036328,1
-71.395726,-12.79166,1
-64.985941,-14.867812,1
-73.3543,4.5213,1
-64.053917,-3.754194,1
-63.9834,-17.276682,1
-60.842496,-3.624691,1
-62.193611,-3.787111,1
-60.833865,-3.618416,1
-73.655556,4.151667,1
-60.021731,-3.119027,1
-66.099286,-11.028652,1
-57.510619,-19.022219,1
-65.968781,-10.869553,1
-76.809128,-0.661867,1
-65.982084,-11.02208,1
-73.181236,-3.528797,1
