long,'lat','sauva'
-64,-34,1
-66.52092,-33.138776,1
-66.09559,-32.595815,1
-65.956941,-32.339624,1
-64.796459,-30.730105,1
-66.3167,-30.35,1
-63.8333,-30.0833,1
-64.705899,-29.80779,1
-64.85,-29.63333,1
-64.2,-28.71507,1
-59.043975,-28.511549,1
-64.8667,-28.5,1
-62.107924,-28.466095,1
-62.829289,-28.45906,1
-64.793466,-28.370539,1
-64.288791,-28.040183,1
-64.328996,-28.01822,1
-64.7253,-27.5789,1
-64.860536,-27.498557,1
-63.526199,-27.376018,1
-65.5,-27,1
-65.20202,-26.86762,1
-65.21694444,-26.81694444,1
-65.216944,-26.816944,1
-65.2167,-26.8167,1
-65.21667,-26.81667,1
-65.2,-26.816667,1
-65.216667,-26.816667,1
-65.36755,-26.76252,1
-64.883889,-26.726944,1
-62.10679,-25.733138,1
-61.889904,-25.200596,1
-57.63,-25.120139,1
-57.63,-25.12013889,1
-63.8047,-24.7386,1
-64.6333333,-24.7333333,1
-64.633333,-24.733333,1
-60.593913,-24.705342,1
-63.7634,-24.7009,1
-61.4716667,-24.6533333,1
-61.471667,-24.653333,1
-64.1833,-24.60485,1
-64.9930556,-24.4036111,1
-64.993056,-24.403611,1
-61.701128,-23.973877,1
-61.701653,-23.973481,1
-61.85,-23.9,1
-61.850695,-23.89583,1
-62.867595,-23.460866,1
-58.8598,-23.4304,1
-64.182187,-23.358544,1
-63.221572,-23.312135,1
-64.1,-23.2167,1
-64.094503,-23.20772,1
-59.18333,-23.2,1
-64,-23,1
-62.204929,-22.693428,1
-60.72595,-22.407717,1
-59.817832,-22.382634,1
-60.0333,-22.35,1
-60.03,-22.35,1
-60.0386,-22.340117,1
-60.295715,-22.311967,1
-63,-22,1
-57.8821,-21.6986,1
-57.718,-21.6813,1
-57.7373,-21.6223,1
-56.4819,-21.1211,1
-56.48189926,-21.12109947,1
-56.517567,-21.116792,1
-56.515,-20.996,1
-56.521065,-20.968508,1
-56.521064,-20.968456,1
-56.71500015,-20.53860092,1
-60.302,-20.294,1
-63.876125,-20.175221,1
-59.58,-20,1
-63.198137,-19.795242,1
-62.57583,-19.60347,1
-56.1506,-19.5779,1
-57.0192,-19.5769,1
-63.4339,-19.42411,1
-60.625866,-19.282185,1
-57.622222,-19.240833,1
-57.65305556,-19.00944444,1
-57.653056,-19.009444,1
-57.6533,-19.0092,1
-57.6532,-19.0012,1
-59.585533,-18.334506,1
-62.7624,-17.9997,1
-63.157884,-17.788931,1
-63.48333,-16.26667,1
-62.616667,-14.666667,1
-56.5211,-20.9685,1
