long,'lat','squa'
-58.584215,-36.01244,1
-58.591753,-36.011405,1
-59.632064,-35.636689,1
-57.801304,-35.000422,1
-54.814829,-34.879487,1
-56.33116667,-34.86361111,1
-56.331167,-34.863611,1
-55.060444,-34.825267,1
-55.06044444,-34.82526667,1
-54.9167,-34.8,1
-54.893778,-34.784417,1
-54.529603,-34.770229,1
-58.086547,-34.768178,1
-56.428902,-34.758376,1
-55.755399,-34.752953,1
-54.8008,-34.7044,1
-58.354398,-34.620255,1
-58.356157,-34.615788,1
-58.353075,-34.615144,1
-54.15867,-34.61283,1
-55.944444,-34.5725,1
-53.872271,-34.409968,1
-53.882,-34.4095,1
-58.7333,-34.3833,1
-53.787678,-34.343482,1
-53.975175,-34.255819,1
-54.2833,-34.0333,1
-58.804558,-33.500718,1
-54.301,-33.45467,1
-58.519725,-33.01488333,1
-58.519725,-33.014883,1
-54.443889,-32.911389,1
-54.445633,-32.905942,1
-53.71983,-32.76583,1
-58.12883,-32.65567,1
-53.388889,-32.590556,1
-52.539167,-32.538056,1
-52.5391667,-32.5380556,1
-54.47483,-32.36517,1
-54.06383,-32.24267,1
-53.75818,-32.1412,1
-60.172677,-32.075941,1
-52.989444,-32.047778,1
-52.9894444,-32.0477778,1
-52.0988889,-32.035,1
-54.129334,-31.933576,1
-54.154528,-31.894556,1
-54.154722,-31.894167,1
-54.16031,-31.893377,1
-54.163028,-31.888944,1
-52.3427778,-31.7719444,1
-52.342778,-31.771944,1
-52.520556,-31.740278,1
-52.5205556,-31.7402778,1
-60.841874,-31.735507,1
-60.877382,-31.731006,1
-53.7283333,-31.5977222,1
-53.728333,-31.597722,1
-53.725167,-31.596528,1
-53.7251667,-31.5965278,1
-53.697333,-31.585806,1
-53.6973333,-31.5858056,1
-53.698028,-31.585778,1
-53.6980278,-31.5857778,1
-53.6871667,-31.5788333,1
-53.687167,-31.578833,1
-53.753389,-31.576778,1
-53.7533889,-31.5767778,1
-53.679056,-31.573,1
-53.6790556,-31.573,1
-53.6901389,-31.5637222,1
-53.690139,-31.563722,1
-53.67250061,-31.55809975,1
-53.698944,-31.552139,1
-53.758167,-31.552139,1
-53.700306,-31.552139,1
-53.7003056,-31.5521389,1
-53.7581667,-31.5521389,1
-53.6989444,-31.5521389,1
-53.700111,-31.552028,1
-53.7001111,-31.5520278,1
-53.6990556,-31.5519722,1
-53.699056,-31.551972,1
-53.7,-31.551889,1
-53.7,-31.5518889,1
-53.747361,-31.551056,1
-53.7473611,-31.5510556,1
-53.7454722,-31.5509444,1
-53.7472222,-31.5509444,1
-53.745472,-31.550944,1
-53.747222,-31.550944,1
-53.74725,-31.550889,1
-53.74725,-31.5508889,1
-53.7375,-31.550639,1
-53.7375,-31.5506389,1
-53.755389,-31.549167,1
-53.7553889,-31.5491667,1
-53.755444,-31.549139,1
-53.7554444,-31.5491389,1
-53.7568611,-31.5490833,1
-53.7552778,-31.5490833,1
-53.755278,-31.549083,1
-53.756861,-31.549083,1
-53.756028,-31.549056,1
-53.7560278,-31.5490556,1
-53.7549167,-31.5489444,1
-53.754917,-31.548944,1
-53.6903056,-31.4431944,1
-53.690306,-31.443194,1
-51.978889,-31.362778,1
-51.9788889,-31.3627778,1
-57.933889,-31.288056,1
-55.84483,-31.23383,1
-55.9036,-31.1744,1
-50.9211111,-31.1069444,1
-50.921111,-31.106944,1
-60.08432222,-31.09963333,1
-60.084322,-31.099633,1
-55.682917,-30.999952,1
-55.475411,-30.954462,1
-55.516002,-30.943173,1
-55.582222,-30.903611,1
-55.6,-30.872222,1
-55.602231,-30.86834,1
-55.364183,-30.77115,1
-55.3641833,-30.77115,1
-51.374435,-30.516893,1
-54.21661,-30.36543,1
-54.15986,-30.35745,1
-54.05157,-30.34063,1
-50.23279953,-30.24749947,1
-54.98948,-30.2382,1
-51.0944319,-30.2212095,1
-51.094432,-30.221209,1
-50.215833,-30.2025,1
-50.2158333,-30.2025,1
-50.20560074,-30.18110085,1
-56.469444,-30.18,1
-56.4694444,-30.18,1
-53.5653,-30.1606,1
-55.25403,-30.1231,1
-57.32997,-30.10573,1
-51.02305556,-30.08111111,1
-51.023056,-30.081111,1
-51.02330017,-30.08110046,1
-55.28523,-30.07667,1
-55.33704,-30.03601,1
-51.2,-30.03333,1
-51.22999954,-30.03310013,1
-56.51897,-29.99807,1
-57.1844444,-29.9547222,1
-57.184444,-29.954722,1
-56.59594,-29.95443,1
-54.540833,-29.916389,1
-54.5408333,-29.9163889,1
-59.451828,-29.859106,1
-51.930278,-29.825556,1
-51.9302778,-29.8255556,1
-51.930389,-29.825528,1
-51.9303889,-29.8255278,1
-53.7178,-29.7136,1
-51.46083333,-29.68861111,1
-51.13059998,-29.67830086,1
-55.336389,-29.598056,1
-55.3363889,-29.5980556,1
-50.0267222,-29.5909444,1
-50.026722,-29.590944,1
-50.219947,-29.486658,1
-50.1738889,-29.4819444,1
-50.173889,-29.481944,1
-50.1993,-29.48125,1
-50.216667,-29.45,1
-50.2166667,-29.45,1
-50.5836,-29.4481,1
-50.376944,-29.421389,1
-50.3769444,-29.4213889,1
-49.72689819,-29.33530045,1
-51.1794,-29.1681,1
-50.144223,-29.047892,1
-50.0061111,-28.8383333,1
-50.006111,-28.838333,1
-50.06579971,-28.74830055,1
-50.435056,-28.672258,1
-50.4167,-28.6678,1
-56.00439835,-28.66060066,1
-50.44,-28.66,1
-56.0069444,-28.6183333,1
-56.006944,-28.618333,1
-57.184551,-28.537344,1
-57.181165,-28.532948,1
-48.78079987,-28.48250008,1
-50.326369,-28.4125,1
-49.6247,-28.3369,1
-51.184167,-28.326389,1
-51.1841667,-28.3263889,1
-50.76079941,-27.89920044,1
-51.33639908,-27.63439941,1
-58.987019,-27.46625,1
-58.98701944,-27.46625,1
-56.5,-27.4167,1
-51.225,-27.4017,1
-51.22499847,-27.40169907,1
-57.2667,-27.4,1
-56.7445,-27.3605,1
-56.17,-27.23,1
-55.725,-27.1839,1
-56.758,-27.1446,1
-50.69530106,-26.92889977,1
-51.7935,-26.8675,1
-55.67,-26.83,1
-55.67,-26.76,1
-52.5317,-26.5581,1
-51.6354,-26.5161,1
-51.99055556,-26.48444444,1
-51.990556,-26.484444,1
-51.3177,-26.4276,1
-51.3156,-26.4275,1
-58.944167,-26.181389,1
-48.855,-26.0267,1
-56.8333,-25.6833,1
-49.3122,-25.6525,1
-50.0137,-25.2496,1
-50.015861,-25.237139,1
-56,-25.2,1
-50.161667,-25.095,1
-50.16166667,-25.095,1
-55.94,-25.07,1
-57.233639,-24.692472,1
-50.2524,-24.5607,1
-54.28359985,-23.78689957,1
-46.31667,-23.78333,1
-46.3167,-23.7833,1
-46.3801,-23.7686,1
-46.52999878,-23.65999985,1
-48.35,-23.4,1
-53.657092,-22.921766,1
-53.655151,-22.918383,1
-48.4448,-22.8859,1
-48.43972222,-22.88,1
-44.53,-22.77,1
-44.6125,-22.7581,1
-44.62,-22.72,1
-44.5772,-22.6454,1
-44.569722,-22.64,1
-44.57,-22.64,1
-44.56972222,-22.64,1
-44.56999969,-22.63999939,1
