long,'lat','typho'
-61.374854,10.443833,1
-47.790858,-16.586016,1
-73.262357,4.861762,1
-53.411413,-18.159978,1
-80.550279,8.234256,1
-63.191732,-17.733387,1
-54.573433,-25.625019,1
-68.30715,-10.561183,1
-66.09946,-11.026332,1
-49.431172,-18.988,1
-66.085895,-11.028088,1
-55.965387,-20.095872,1
-56.294972,-19.952187,1
-56.306133,-19.950962,1
-46.793773,-12.855373,1
-57.503195,-25.369575,1
-63.185828,-17.877452,1
-46.663216,-17.123043,1
-67.822778,-9.946111,1
-49.771022,-17.1092,1
-61.557404,10.207498,1
-67.871644,-9.954969,1
-67.571068,8.565734,1
-47.62148,-22.698312,1
-67.822747,-9.945944,1
-66.100084,-11.024423,1
-54.873122,5.740211,1
-65.969944,-10.866523,1
-67.872256,-9.937616,1
-58.654858,-27.452891,1
-54.914051,-22.211114,1
-61.401953,10.533632,1
-57.52169,-25.279994,1
-55.021059,5.792717,1
-41.743735,-2.910179,1
-61.264272,10.588418,1
-58.562955,-27.314005,1
-60.530967,-31.718148,1
-60.795928,11.191417,1
-74.703507,4.041937,1
-75.02593,10.75222,1
-61.364691,10.489724,1
-54.963531,-22.180139,1
-69.134919,-12.604887,1
-58.562904,-27.313934,1
-72.544687,-7.730554,1
-70.36392,-3.777737,1
-59.618393,-26.79322,1
-66.072137,-11.007196,1
-62.7494,-17.9963,1
-66.093163,-11.031778,1
-66.100141,-11.023538,1
-66.098835,-11.029932,1
-54.586363,-25.620051,1
-55.750349,-15.464775,1
-75.56795,5.717167,1
-55.541634,-20.52867,1
-55.931088,-9.597118,1
-75.400682,9.341221,1
-75.456749,9.424021,1
-75.38399,10.07488,1
-39.337928,-3.81757,1
-70.318139,-8.20816,1
-73.584439,4.074025,1
-49.553914,-0.028076,1
-75.149315,9.958542,1
-56.862243,-16.747967,1
-47.293009,-3.094331,1
-53.653205,-22.918642,1
-67.796322,-9.921051,1
-66.091617,-11.029804,1
-49.429362,-18.989795,1
-70.206202,-3.864544,1
-55.20865,4.963182,1
-53.975704,-25.85756,1
-50.000349,-9.418422,1
-59.352903,3.661194,1
-73.6143,4.112194,1
-59.043016,3.859887,1
-57.716908,-21.692938,1
-57.816304,-21.606489,1
-63.191767,-17.733339,1
-54.980003,5.78355,1
-55.204736,5.623633,1
-69.951347,-4.193861,1
-73.585556,4.073889,1
-49.820049,-15.49862,1
-71.335932,4.566687,1
-63.250882,-23.91768,1
-60.418475,-26.820807,1
-98.948055,22.232778,1
-74.305444,0.252389,1
-74.2215,6.700209,1
-74.083779,6.423364,1
-53.811668,-3.659167,1
-73.39837,4.06385,1
-56.857515,-16.748235,1
-50.382409,-10.300617,1
-67.865924,-9.956307,1
-51.40474,-20.38909,1
-53.657092,-22.921766,1
-55.964844,-20.096361,1
-47.082848,-22.818418,1
-63.233957,-17.858223,1
-58.830681,-26.305503,1
-63.356263,-21.162376,1
-57.018906,-19.576734,1
-59.618393,-26.793213,1
-68.468278,5.551556,1
-68.467806,5.558444,1
-68.492667,5.576778,1
-57.019167,-19.577056,1
-74.54586,5.76401,1
-74.56448,5.30512,1
-58.944167,-26.181389,1
-58.830881,-26.305373,1
-74.6006,5.32952,1
-74.680194,0.151903,1
-38.716667,-3.9,1
-57.019162,-19.577054,1
-71.422279,6.771268,1
-71.465765,6.776136,1
-98.971111,22.219167,1
-54.593505,-25.603817,1
-64.992971,-14.855163,1
-64.790694,-3.118306,1
-64.050944,-3.798778,1
-64.784111,-3.121417,1
-64.786667,-3.117833,1
-62.193611,-3.787111,1
-61.486028,-3.725944,1
-61.460361,-3.70275,1
-57.510619,-19.022219,1
-59.017269,4.143916,1
-38.850368,-4.183564,1
-68.66,5.840833,1
-58.691672,3.756206,1
